S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1142	34	1175	pa_ill_pa_contig67	contig_167	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	192500	1176	pa_ill_pa_contig13	contig_167	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	192501	192992	pa_ill_pa_contig80	contig_167	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	194229	192993	pa_ill_pa_contig65	contig_167	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	195063	194230	pa_ill_pa_contig71	contig_167	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	195064	453633	pa_ill_pa_contig8	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	453634	454126	pa_ill_pa_contig79	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	480920	454127	pa_ill_pa_contig39	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	480921	483874	pa_ill_pa_contig51	contig_167	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	490464	483875	pa_ill_pa_contig42	contig_167	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	490465	491488	pa_ill_pa_contig48	contig_167	99.54		True
local misassembly
1235	3667	491644	494076	pa_ill_pa_contig48	contig_167	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	494077	524844	pa_ill_pa_contig38	contig_167	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	525719	524845	pa_ill_pa_contig69	contig_167	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	594050	525720	pa_ill_pa_contig28	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	799	595482	594739	pa_ill_pa_contig75	contig_167	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	595483	601630	pa_ill_pa_contig43	contig_167	99.97		True
fake: not a misassembly [fragmentation of reference genome]
56	799	603063	602320	pa_ill_pa_contig75	contig_167	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	606301	603064	pa_ill_pa_contig50	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	607873	606302	pa_ill_pa_contig58	contig_167	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	612844	607874	pa_ill_pa_contig46	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	614416	612845	pa_ill_pa_contig58	contig_167	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1661	614417	616077	pa_ill_pa_contig59	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1028	616078	617050	pa_ill_pa_contig68	contig_167	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	690	617855	617166	pa_ill_pa_contig76	contig_167	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	592	618447	617856	pa_ill_pa_contig77	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	619206	620233	pa_ill_pa_contig68	contig_167	99.81		True
fake: not a misassembly [fragmentation of reference genome]
56	690	620983	620349	pa_ill_pa_contig76	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
34236	173697	760523	620984	pa_ill_pa_contig15	contig_167	99.94		True
local misassembly
1	34328	794851	760524	pa_ill_pa_contig15	contig_167	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	794852	795999	pa_ill_pa_contig64	contig_167	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	902795	796000	pa_ill_pa_contig21	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	904177	902796	pa_ill_pa_contig61	contig_167	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	904178	1109061	pa_ill_pa_contig12	contig_167	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	1109878	1109062	pa_ill_pa_contig73	contig_167	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	1166560	1109879	pa_ill_pa_contig30	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	1167918	1166561	pa_ill_pa_contig62	contig_167	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	23992	1191910	1167919	pa_ill_pa_contig40	contig_167	100.0		True
translocation
56	702	1192557	1191911	pa_ill_pa_contig8	contig_167	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	1192558	1193446	pa_ill_pa_contig71	contig_167	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1193447	1194683	pa_ill_pa_contig65	contig_167	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1195175	1194684	pa_ill_pa_contig80	contig_167	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	1313877	1195176	pa_ill_pa_contig19	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	1313878	1319274	pa_ill_pa_contig45	contig_167	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	1319275	1430486	pa_ill_pa_contig20	contig_167	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	266935	1697418	1430487	pa_ill_pa_contig6	contig_167	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	1698028	1745098	pa_ill_pa_contig35	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	1747928	1745777	pa_ill_pa_contig55	contig_167	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	1747929	2595608	pa_ill_pa_contig1	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2595609	2596695	pa_ill_pa_contig67	contig_167	99.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	2658411	2596696	pa_ill_pa_contig29	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2664015	2658412	pa_ill_pa_contig44	contig_167	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38146	2702162	2664016	pa_ill_pa_contig36	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	2702751	2706261	pa_ill_pa_contig49	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	2708171	2706634	pa_ill_pa_contig60	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	265097	2973715	2708622	pa_ill_pa_contig7	contig_167	100.0		True
local misassembly
1	77	2974171	2974095	pa_ill_pa_contig7	contig_167	98.7		True
local misassembly
1	123	2974513	2974391	pa_ill_pa_contig7	contig_167	99.19		True
fake: not a misassembly [fragmentation of reference genome]
