S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200283	1	ec_ill_ec_contig2	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200284	200769	ec_ill_ec_contig98	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216130	200770	ec_ill_ec_contig54	contig_33	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216683	216198	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314072	216779	ec_ill_ec_contig19	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314073	316597	ec_ill_ec_contig71	contig_33	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316813	317388	ec_ill_ec_contig95	contig_33	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317389	325083	ec_ill_ec_contig61	contig_33	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325538	325084	ec_ill_ec_contig101	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352883	325539	ec_ill_ec_contig46	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352884	353455	ec_ill_ec_contig96	contig_33	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353798	353456	ec_ill_ec_contig85	contig_33	93.45		True
translocation
1	1970	355768	353799	ec_ill_ec_contig74	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356742	355769	ec_ill_ec_contig82	contig_33	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356743	371118	ec_ill_ec_contig55	contig_33	99.98		True
translocation
1	384	371502	371119	ec_ill_ec_contig50	contig_33	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372015	371622	ec_ill_ec_contig9	contig_33	96.99		True
translocation
1	18741	372016	390756	ec_ill_ec_contig51	contig_33	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391309	390824	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391405	423092	ec_ill_ec_contig42	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435959	423093	ec_ill_ec_contig57	contig_33	99.99		True
local misassembly [fragmentation of reference genome]
22	507	436055	436540	ec_ill_ec_contig104	contig_33	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535382	436608	ec_ill_ec_contig18	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536614	535383	ec_ill_ec_contig79	contig_33	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707916	536615	ec_ill_ec_contig3	contig_33	99.99		True
local misassembly
1	57666	765583	707917	ec_ill_ec_contig3	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765584	766157	ec_ill_ec_contig96	contig_33	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766519	766158	ec_ill_ec_contig85	contig_33	94.88		True
translocation
56	550	767014	766520	ec_ill_ec_contig102	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767606	767015	ec_ill_ec_contig93	contig_33	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767607	768445	ec_ill_ec_contig88	contig_33	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769528	768446	ec_ill_ec_contig82	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769529	770393	ec_ill_ec_contig87	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770394	770918	ec_ill_ec_contig100	contig_33	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771870	771366	ec_ill_ec_contig50	contig_33	94.43		True
translocation
1	13785	771871	785656	ec_ill_ec_contig56	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786209	785724	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787072	787363	ec_ill_ec_contig13	contig_33	97.96		True
translocation
9004	9482	787364	787842	ec_ill_ec_contig55	contig_33	96.15		True
translocation
1	595	787843	788437	ec_ill_ec_contig99	contig_33	100.0		True
translocation
70844	71136	788643	788935	ec_ill_ec_contig26	contig_33	99.32		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	789449	789055	ec_ill_ec_contig9	contig_33	96.9		True
translocation
1	70438	789450	859888	ec_ill_ec_contig27	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859889	861010	ec_ill_ec_contig80	contig_33	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899061	861011	ec_ill_ec_contig38	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902793	899675	ec_ill_ec_contig69	contig_33	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903675	974837	ec_ill_ec_contig26	contig_33	99.94		True
local misassembly [fragmentation of reference genome]
1	125137	974962	1100094	ec_ill_ec_contig9	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	1100214	1119234	ec_ill_ec_contig50	contig_33	99.89		True
fake: not a misassembly [fragmentation of reference genome]
56	580	1120206	1119682	ec_ill_ec_contig100	contig_33	99.48		True
