S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	189	189	1	sa_ill_sa_contig13	contig_103	100.0		False
305	382	370207	370284	sa_ill_sa_contig51	contig_103	100.0		False
10469	10543	370212	370286	sa_ill_sa_contig9	contig_103	100.0		False
1	161	370207	370379	sa_ill_sa_contig51	contig_103	93.06		False
105	186	403331	403250	sa_ill_sa_contig25	contig_103	100.0		False
164	242	403335	403413	sa_ill_sa_contig23	contig_103	100.0		False
306	382	403509	403586	sa_ill_sa_contig51	contig_103	98.72		False
9108	9197	403901	403990	sa_ill_sa_contig20	contig_103	97.78		False
890	964	404073	403999	ef_ill_ef_contig21	contig_103	93.33		False
691	773	404281	404199	ef_ill_ef_contig21	contig_103	95.18		False
1	75	404362	404288	ef_ill_ef_contig16	contig_103	100.0		False
502	577	404363	404288	lf_ill_lf_contig69	contig_103	94.74		False
610	689	404366	404287	ef_ill_ef_contig21	contig_103	100.0		False
439	523	404372	404288	lm_ill_lm_contig37	contig_103	96.47		False
429	521	404553	404461	ef_ill_ef_contig21	contig_103	95.7		False
269	356	404554	404467	lm_ill_lm_contig37	contig_103	95.45		False
324	418	404561	404467	lf_ill_lf_contig69	contig_103	93.68		False
98793	98873	404642	404722	bs_ill_bs_contig3	contig_103	93.83		False
276	350	404803	404729	sa_ill_sa_contig25	contig_103	100.0		False
98882	98963	404723	404804	bs_ill_bs_contig3	contig_103	93.9		False
92	173	404805	404724	bs_ill_bs_contig1326	contig_103	93.9		False
1	79	404975	404897	sa_ill_sa_contig25	contig_103	100.0		False
87	460	404730	405103	sa_ill_sa_contig23	contig_103	99.2		False
304	384	405280	405360	lm_ill_lm_contig12	contig_103	92.59		False
8	169	405441	405280	bs_ill_bs_contig13	contig_103	95.06		False
4282	4511	405683	405454	ec_ill_ec_contig65	contig_103	90.87		False
322	551	405454	405683	se_ill_se_contig42	contig_103	90.87		False
4903	5134	405685	405454	pa_ill_pa_contig44	contig_103	90.95		False
396	885	405372	405861	lm_ill_lm_contig12	contig_103	95.1		False
223	726	405372	405875	lf_ill_lf_contig82	contig_103	95.83		False
325	923	405280	405878	ef_ill_ef_contig17	contig_103	94.49		False
3780	3873	406185	406092	ec_ill_ec_contig65	contig_103	96.81		False
960	1053	406092	406185	se_ill_se_contig42	contig_103	96.81		False
4403	4500	406185	406088	pa_ill_pa_contig44	contig_103	96.94		False
1019	1366	405974	406321	ef_ill_ef_contig17	contig_103	95.11		False
965	1346	405941	406322	lm_ill_lm_contig12	contig_103	94.76		False
3436	3788	406328	405976	lf_ill_lf_contig57	contig_103	92.07		False
1367	1447	406342	406422	lm_ill_lm_contig12	contig_103	97.53		False
1	1068	405394	406460	bs_ill_bs_contig839	contig_103	93.83		False
1677	1863	406654	406840	lm_ill_lm_contig12	contig_103	90.37		False
2688	2883	407083	406888	lf_ill_lf_contig57	contig_103	93.37		False
1921	2135	406885	407099	ef_ill_ef_contig17	contig_103	95.35		False
1910	2127	406882	407099	lm_ill_lm_contig12	contig_103	91.74		False
105	553	406651	407099	bs_ill_bs_contig991	contig_103	91.09		False
2165	2233	407129	407197	ef_ill_ef_contig17	contig_103	95.65		False
2567	2643	407204	407128	lf_ill_lf_contig57	contig_103	90.91		False
2249	2365	407212	407328	ef_ill_ef_contig17	contig_103	92.31		False
494	720	407686	407460	bs_ill_bs_contig1146	contig_103	94.71		False
2427	2716	407397	407686	lm_ill_lm_contig12	contig_103	92.76		False
1863	1977	407903	407789	lf_ill_lf_contig57	contig_103	91.3		False
386	514	407787	407915	ef_ill_ef_contig25	contig_103	93.8		False
2799	2950	407766	407917	lm_ill_lm_contig12	contig_103	92.11		False
563	681	407965	408083	ef_ill_ef_contig25	contig_103	94.12		False
688	765	408307	408384	sa_ill_sa_contig51	contig_103	100.0		False
1243	1307	408474	408410	lf_ill_lf_contig69	contig_103	100.0		False
3804	3891	408979	409066	se_ill_se_contig42	contig_103	90.91		False
950	1024	409068	408994	ec_ill_ec_contig65	contig_103	94.67		False
779	853	409069	408995	lf_ill_lf_contig57	contig_103	98.67		False
1289	1407	409079	408961	ef_ill_ef_contig19	contig_103	96.64		False
1397	1503	409234	409128	pa_ill_pa_contig44	contig_103	96.26		False
786	906	409234	409114	ec_ill_ec_contig65	contig_103	93.39		False
3937	4076	409114	409253	se_ill_se_contig42	contig_103	91.43		False
513	759	409337	409091	lf_ill_lf_contig57	contig_103	91.9		False
