Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
MP_helen_r10_1	14	14	0	14	0	0	0	0	0	1	2718048	1	10	9	0	0	26	6	6736	1100	1037	63	4804
MP_helen_r10_2	14	14	0	14	0	0	0	0	0	1	2718042	1	10	10	0	0	26	6	6875	1127	1064	63	4837
MP_helen_r10_3	14	14	0	14	0	0	0	0	0	1	2718049	1	10	9	0	0	26	6	6877	1112	1050	62	4821
MP_r10_1	14	14	0	14	0	0	0	0	0	1	2719899	1	10	9	0	0	26	6	7560	2980	2913	67	6813
MP_r10_2	14	14	0	14	0	0	0	0	0	1	2719883	1	10	9	0	0	26	6	7701	2989	2922	67	6828
MP_r10_3	14	14	0	14	0	0	0	0	0	1	2719892	1	10	9	0	0	26	6	7702	3007	2940	67	6841
r1_medaka_r10_1	14	14	0	14	0	0	0	0	0	1	2719529	1	10	9	0	0	26	6	7615	2074	2022	52	5435
r1_medaka_r10_2	14	14	0	14	0	0	0	0	0	1	2719566	1	10	9	0	0	26	6	7585	2063	2012	51	5420
r1_medaka_r10_3	14	14	0	14	0	0	0	0	0	1	2719547	1	10	9	0	0	26	6	7585	2052	2001	51	5393
r2_medaka_r10_1	14	14	0	14	0	0	0	0	0	1	2719538	1	10	9	0	0	26	6	7594	2038	1987	51	5365
r2_medaka_r10_2	14	14	0	14	0	0	0	0	0	1	2719579	1	10	9	0	0	26	6	7717	2078	2027	51	5414
r2_medaka_r10_3	14	14	0	14	0	0	0	0	0	1	2719575	1	10	9	0	0	26	6	7760	2081	2029	52	5432
racon_r1_r10_1	14	14	0	14	0	0	0	0	0	1	2720266	1	10	9	0	0	26	6	7753	2925	2874	51	6643
racon_r1_r10_2	14	14	0	14	0	0	0	0	0	1	2720345	1	10	10	0	0	26	6	7612	2929	2877	52	6665
racon_r1_r10_3	14	14	0	14	0	0	0	0	0	1	2720243	1	10	9	0	0	26	6	7606	2928	2877	51	6642
racon_r2_r10_1	14	14	0	14	0	0	0	0	0	1	2720247	1	10	10	0	0	26	6	7970	2908	2856	52	6541
racon_r2_r10_2	14	14	0	14	0	0	0	0	0	1	2720315	1	10	9	0	0	26	6	7735	2911	2860	51	6574
racon_r2_r10_3	14	14	0	14	0	0	0	0	0	1	2720337	1	10	10	0	0	26	6	7773	2892	2840	52	6558
raw_r10_1	13	13	0	13	0	0	0	0	0	1	2718430	1	18	19	0	0	24	5	6603	4241	4179	62	8354
raw_r10_2	13	13	0	13	0	0	0	0	0	1	2718436	1	16	20	0	0	24	5	6673	4280	4220	60	8398
raw_r10_3	13	13	0	13	0	0	0	0	0	1	2718434	1	16	20	0	0	24	5	6699	4280	4220	60	8398
