S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200257	1	ec_ill_ec_contig2	contig_14	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200258	200743	ec_ill_ec_contig98	contig_14	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216106	200744	ec_ill_ec_contig54	contig_14	99.84		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216659	216174	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314019	216755	ec_ill_ec_contig19	contig_14	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314020	316550	ec_ill_ec_contig71	contig_14	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316766	317341	ec_ill_ec_contig95	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317342	325029	ec_ill_ec_contig61	contig_14	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325484	325030	ec_ill_ec_contig101	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352826	325485	ec_ill_ec_contig46	contig_14	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352827	353399	ec_ill_ec_contig96	contig_14	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353742	353400	ec_ill_ec_contig85	contig_14	93.45		True
translocation
1	1970	355712	353743	ec_ill_ec_contig74	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356685	355713	ec_ill_ec_contig82	contig_14	99.45		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356686	371059	ec_ill_ec_contig55	contig_14	99.97		True
translocation
1	384	371443	371060	ec_ill_ec_contig50	contig_14	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	371957	371563	ec_ill_ec_contig9	contig_14	97.18		True
translocation
1	18741	371958	390695	ec_ill_ec_contig51	contig_14	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391248	390763	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391344	423025	ec_ill_ec_contig42	contig_14	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435890	423026	ec_ill_ec_contig57	contig_14	99.96		True
local misassembly [fragmentation of reference genome]
22	507	435986	436471	ec_ill_ec_contig104	contig_14	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535300	436539	ec_ill_ec_contig18	contig_14	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536531	535301	ec_ill_ec_contig79	contig_14	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707813	536532	ec_ill_ec_contig3	contig_14	99.97		True
local misassembly
1	57666	765472	707814	ec_ill_ec_contig3	contig_14	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765473	766045	ec_ill_ec_contig96	contig_14	99.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766407	766046	ec_ill_ec_contig85	contig_14	94.88		True
translocation
56	550	766902	766408	ec_ill_ec_contig102	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767494	766903	ec_ill_ec_contig93	contig_14	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767495	768333	ec_ill_ec_contig88	contig_14	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769415	768334	ec_ill_ec_contig82	contig_14	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769416	770280	ec_ill_ec_contig87	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770281	770804	ec_ill_ec_contig100	contig_14	99.48		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771755	771252	ec_ill_ec_contig50	contig_14	94.21		True
translocation
1	13785	771756	785536	ec_ill_ec_contig56	contig_14	99.96		True
