S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_101	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_101	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226279	3000	sa_ill_sa_contig1	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226280	227607	sa_ill_sa_contig48	contig_101	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326178	227608	sa_ill_sa_contig11	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326179	333254	sa_ill_sa_contig36	contig_101	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355039	333255	sa_ill_sa_contig30	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355040	355750	sa_ill_sa_contig55	contig_101	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	369958	355751	sa_ill_sa_contig34	contig_101	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370111	403074	sa_ill_sa_contig26	contig_101	99.97		True
local misassembly [fragmentation of reference genome]
2	925	403279	404192	sa_ill_sa_contig51	contig_101	98.49		True
translocation
198	3323	404746	407871	sa_ill_sa_contig41	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408293	409893	sa_ill_sa_contig8	contig_101	99.65		True
translocation
1	28120	409894	438002	sa_ill_sa_contig28	contig_101	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438007	477738	sa_ill_sa_contig21	contig_101	99.96		True
local misassembly [fragmentation of reference genome]
98092	98471	478117	477739	sa_ill_sa_contig11	contig_101	97.97		True
translocation
1	62604	478118	540516	sa_ill_sa_contig14	contig_101	99.65		True
local misassembly
62396	62502	540566	540672	sa_ill_sa_contig14	contig_101	98.6		True
translocation
203	3323	540673	543789	sa_ill_sa_contig41	contig_101	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544208	545806	sa_ill_sa_contig8	contig_101	99.41		True
translocation
19	34443	580230	545807	sa_ill_sa_contig24	contig_101	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	618991	580231	sa_ill_sa_contig22	contig_101	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	618992	619524	sa_ill_sa_contig63	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	653876	619525	sa_ill_sa_contig25	contig_101	99.93		True
translocation
203	3323	654041	657155	sa_ill_sa_contig41	contig_101	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657528	789489	sa_ill_sa_contig8	contig_101	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	789831	939257	sa_ill_sa_contig5	contig_101	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939303	970189	sa_ill_sa_contig27	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970190	970995	sa_ill_sa_contig53	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974032	971114	sa_ill_sa_contig43	contig_101	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	987724	974033	sa_ill_sa_contig35	contig_101	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	988456	1114104	sa_ill_sa_contig10	contig_101	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114105	1114769	sa_ill_sa_contig60	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116371	1115888	sa_ill_sa_contig65	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137194	1116372	sa_ill_sa_contig32	contig_101	99.97		True
translocation
1	130429	1267507	1137195	sa_ill_sa_contig9	contig_101	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1267508	1272088	sa_ill_sa_contig40	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272089	1277406	sa_ill_sa_contig38	contig_101	99.96		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1281987	1277407	sa_ill_sa_contig40	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308162	1281988	sa_ill_sa_contig29	contig_101	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1308528	1309384	sa_ill_sa_contig54	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1311585	1309914	sa_ill_sa_contig46	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1311586	1355084	sa_ill_sa_contig18	contig_101	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1355617	1355085	sa_ill_sa_contig63	contig_101	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1355618	1498447	sa_ill_sa_contig6	contig_101	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1498601	1519637	sa_ill_sa_contig31	contig_101	99.96		True
translocation
98057	98213	1519638	1519794	sa_ill_sa_contig11	contig_101	98.58		True
local misassembly
98340	98561	1519795	1520016	sa_ill_sa_contig11	contig_101	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1546608	1520017	sa_ill_sa_contig12	contig_101	99.37		True
local misassembly
46	44268	1590818	1546609	sa_ill_sa_contig12	contig_101	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1590819	1641505	sa_ill_sa_contig17	contig_101	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1641506	1646499	sa_ill_sa_contig39	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1646500	1660862	sa_ill_sa_contig33	contig_101	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1661573	1660863	sa_ill_sa_contig55	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1668258	1661574	sa_ill_sa_contig37	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1668284	1671123	sa_ill_sa_contig44	contig_101	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1672698	1671124	sa_ill_sa_contig47	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1713793	1672724	sa_ill_sa_contig20	contig_101	99.95		True
translocation
1	1649	1715442	1713794	sa_ill_sa_contig8	contig_101	99.82		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1718949	1715830	sa_ill_sa_contig41	contig_101	99.84		True
translocation
38161	38352	1719232	1719042	sa_ill_sa_contig23	contig_101	95.31		True
local misassembly
38187	38352	1719485	1719320	sa_ill_sa_contig23	contig_101	98.8		True
local misassembly
1	38352	1757929	1719578	sa_ill_sa_contig23	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1758321	1758070	sa_ill_sa_contig51	contig_101	94.44		True
translocation
1	1703	1759995	1758335	sa_ill_sa_contig8	contig_101	96.14		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1763645	1760325	sa_ill_sa_contig41	contig_101	99.88		True
translocation
1	1604	1765247	1763646	sa_ill_sa_contig8	contig_101	99.71		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1768664	1765544	sa_ill_sa_contig41	contig_101	99.84		True
translocation
55995	56123	1768968	1768841	sa_ill_sa_contig15	contig_101	98.45		True
local misassembly
1	56123	1825117	1769116	sa_ill_sa_contig15	contig_101	99.73		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1825118	1825832	sa_ill_sa_contig58	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1829092	1825833	sa_ill_sa_contig42	contig_101	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1829291	2041163	sa_ill_sa_contig2	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	2041164	2248036	sa_ill_sa_contig3	contig_101	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	2248049	2326053	sa_ill_sa_contig7	contig_101	99.79		True
local misassembly
78271	134302	2326054	2382048	sa_ill_sa_contig7	contig_101	99.9		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	2432805	2382111	sa_ill_sa_contig16	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2609928	2432806	sa_ill_sa_contig4	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
