S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337691	bs_ill_bs_contig2	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338673	338540	bs_ill_bs_contig20	contig_18	100.0		True
translocation
56	319	339336	339075	bs_ill_bs_contig13	contig_18	97.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339337	340494	bs_ill_bs_contig839	contig_18	95.49		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	859	340499	341341	bs_ill_bs_contig991	contig_18	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
11	722	342095	341386	bs_ill_bs_contig1146	contig_18	95.97		True
local misassembly [fragmentation of reference genome]
1	982	343451	342474	bs_ill_bs_contig933	contig_18	97.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343452	343736	bs_ill_bs_contig3	contig_18	98.83		True
translocation
1	257004	600743	343840	bs_ill_bs_contig8	contig_18	99.91		True
translocation
1	599	601336	600744	bs_ill_bs_contig2	contig_18	96.01		True
fake: not a misassembly [fragmentation of reference genome]
708457	709047	601930	601338	bs_ill_bs_contig1	contig_18	95.02		True
translocation
1	29643	631578	601949	bs_ill_bs_contig18	contig_18	99.91		True
translocation
41	393	631929	631579	bs_ill_bs_contig13	contig_18	95.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
15	1152	631930	633066	bs_ill_bs_contig839	contig_18	94.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
51	911	633112	633966	bs_ill_bs_contig991	contig_18	94.52		True
fake: not a misassembly [fragmentation of reference genome]
1	722	634690	633968	bs_ill_bs_contig1146	contig_18	96.99		True
fake: not a misassembly [fragmentation of reference genome]
56	982	635976	635059	bs_ill_bs_contig933	contig_18	96.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	635977	961403	bs_ill_bs_contig3	contig_18	99.66		True
translocation
1	599	962002	961404	bs_ill_bs_contig2	contig_18	93.82		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	962558	962004	bs_ill_bs_contig1	contig_18	96.77		True
translocation
1	104023	962559	1066538	bs_ill_bs_contig12	contig_18	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085031	1066692	bs_ill_bs_contig20	contig_18	99.91		True
local misassembly [fragmentation of reference genome]
4	1152	1085239	1086382	bs_ill_bs_contig839	contig_18	98.35		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086384	1087293	bs_ill_bs_contig991	contig_18	96.72		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088014	1087295	bs_ill_bs_contig1146	contig_18	95.49		True
fake: not a misassembly [fragmentation of reference genome]
3	982	1089348	1088380	bs_ill_bs_contig933	contig_18	95.23		True
indel: indel (> 5bp) [fragmentation of reference genome]
54	426	1089349	1089720	bs_ill_bs_contig3	contig_18	96.5		True
translocation
56	453	1090209	1089812	bs_ill_bs_contig13	contig_18	95.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090210	1091353	bs_ill_bs_contig839	contig_18	96.81		True
fake: not a misassembly [fragmentation of reference genome]
1	907	1091355	1092273	bs_ill_bs_contig991	contig_18	96.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	694	1093004	1092305	bs_ill_bs_contig1146	contig_18	98.29		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094321	1093371	bs_ill_bs_contig933	contig_18	94.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094322	1094691	bs_ill_bs_contig3	contig_18	95.54		True
local misassembly
521	599	1094948	1095024	bs_ill_bs_contig3	contig_18	97.47		True
translocation
33	435	1095810	1095401	bs_ill_bs_contig13	contig_18	94.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
23	1152	1095811	1096933	bs_ill_bs_contig839	contig_18	97.45		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1096935	1097838	bs_ill_bs_contig991	contig_18	92.47		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1098558	1097840	bs_ill_bs_contig1146	contig_18	96.56		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1099908	1098929	bs_ill_bs_contig933	contig_18	96.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1099909	1100224	bs_ill_bs_contig3	contig_18	97.82		True
translocation
1	60136	1160345	1100225	bs_ill_bs_contig13	contig_18	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160346	1161431	bs_ill_bs_contig839	contig_18	91.2		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1161433	1162328	bs_ill_bs_contig991	contig_18	92.21		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	710	1163050	1162340	bs_ill_bs_contig1146	contig_18	93.96		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1164400	1163427	bs_ill_bs_contig933	contig_18	93.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1164401	1164688	bs_ill_bs_contig3	contig_18	96.23		True
translocation
1	532	1165668	1165140	bs_ill_bs_contig1326	contig_18	94.07		True
translocation
46	453	1166205	1165782	bs_ill_bs_contig13	contig_18	94.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
10	1152	1166206	1167319	bs_ill_bs_contig839	contig_18	92.02		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167321	1168227	bs_ill_bs_contig991	contig_18	93.1		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	708	1168946	1168236	bs_ill_bs_contig1146	contig_18	95.96		True
fake: not a misassembly [fragmentation of reference genome]
10	982	1170290	1169318	bs_ill_bs_contig933	contig_18	91.19		True
local misassembly [fragmentation of reference genome]
1	55215	1225874	1170686	bs_ill_bs_contig15	contig_18	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	1137	1226292	1227412	bs_ill_bs_contig839	contig_18	93.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	911	1227431	1228337	bs_ill_bs_contig991	contig_18	95.23		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229060	1228339	bs_ill_bs_contig1146	contig_18	96.43		True
local misassembly [fragmentation of reference genome]
1	980	1230585	1229608	bs_ill_bs_contig933	contig_18	96.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1230586	1230870	bs_ill_bs_contig3	contig_18	99.1		True
translocation
1	15524	1246467	1230958	bs_ill_bs_contig21	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1246865	1248012	bs_ill_bs_contig839	contig_18	95.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
12	911	1248025	1248919	bs_ill_bs_contig991	contig_18	93.99		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1249631	1248921	bs_ill_bs_contig1146	contig_18	95.34		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251156	1250185	bs_ill_bs_contig933	contig_18	95.85		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1311244	1251406	bs_ill_bs_contig14	contig_18	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1311475	2019941	bs_ill_bs_contig1	contig_18	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	602	2019943	2020544	bs_ill_bs_contig2	contig_18	95.69		True
translocation
1	263207	2283595	2020545	bs_ill_bs_contig7	contig_18	99.92		True
translocation
3	620	2284214	2283596	bs_ill_bs_contig2	contig_18	95.86		True
indel: indel (<= 5bp) [fragmentation of reference genome]
708490	709047	2284765	2284217	bs_ill_bs_contig1	contig_18	91.61		True
translocation
1	38370	2323120	2284766	bs_ill_bs_contig16	contig_18	99.91		True
translocation
56	341	2323403	2323121	bs_ill_bs_contig3	contig_18	94.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2323404	2324371	bs_ill_bs_contig933	contig_18	94.55		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2324738	2325457	bs_ill_bs_contig1146	contig_18	95.61		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2326375	2325459	bs_ill_bs_contig991	contig_18	97.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1142	2327512	2326387	bs_ill_bs_contig839	contig_18	90.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2327513	2327731	bs_ill_bs_contig13	contig_18	99.23		True
local misassembly
328	423	2327866	2327961	bs_ill_bs_contig13	contig_18	100.0		True
translocation
1	37065	2366976	2329938	bs_ill_bs_contig17	contig_18	99.92		True
translocation
708489	709047	2366977	2367534	bs_ill_bs_contig1	contig_18	96.76		True
indel: indel (<= 5bp) [fragmentation of reference genome]
3	599	2367537	2368128	bs_ill_bs_contig2	contig_18	95.41		True
translocation
1	315068	2368129	2683014	bs_ill_bs_contig4	contig_18	99.91		True
translocation
708490	709047	2683015	2683566	bs_ill_bs_contig1	contig_18	94.19		True
indel: indel (> 5bp) [fragmentation of reference genome]
