Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
  # contig misassemblies	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2992084	2992067	2992075	2992074	2991894	2991958	2990628	2992085	2992067	2992074	2992073	2991915	2991980	2990633	2992084	2992069	2992075	2992075	2991930	2991998	2990669
# possibly misassembled contigs	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2
    # possible misassemblies	8	8	8	8	8	8	9	8	8	8	8	8	8	9	8	8	8	8	8	8	9
# local misassemblies	7	7	7	7	7	7	14	7	7	7	7	7	7	14	7	7	7	7	7	7	14
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	16	16	16	16	16	16	10	16	16	16	16	16	16	10	16	16	16	16	16	16	10
# unaligned mis. contigs	6	6	6	6	6	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6	7
# mismatches	6756	6931	6908	6879	6681	6970	4202	6804	7001	6874	6937	6621	6854	4340	6754	6896	6976	6943	6649	6925	4255
# indels	632	642	662	645	933	879	3453	651	661	656	641	927	862	3414	630	642	665	642	939	874	3453
    # indels (<= 5 bp)	609	618	637	621	908	854	3425	627	636	631	617	902	838	3387	607	618	640	618	914	849	3425
    # indels (> 5 bp)	23	24	25	24	25	25	28	24	25	25	24	25	24	27	23	24	25	24	25	25	28
Indels length	1919	1935	1978	1947	2331	2253	5304	1958	1974	1971	1932	2338	2206	5251	1920	1937	1981	1933	2346	2243	5316
