S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52854	se_ill_se_contig27	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350678	52855	se_ill_se_contig2	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350679	351071	se_ill_se_contig69	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355138	351072	se_ill_se_contig46	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355139	358810	se_ill_se_contig47	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358811	360587	se_ill_se_contig53	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361074	360588	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85543	162102	437623	361075	se_ill_se_contig11	contig_95	99.99		True
local misassembly
1	85606	523338	437742	se_ill_se_contig11	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524479	523339	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524480	538204	se_ill_se_contig4	contig_95	100.0		True
local misassembly
13844	16547	538205	540908	se_ill_se_contig4	contig_95	98.98		True
local misassembly
16782	245298	540909	769421	se_ill_se_contig4	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769422	771154	se_ill_se_contig54	contig_95	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771155	772000	se_ill_se_contig58	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772001	773514	se_ill_se_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773515	773946	se_ill_se_contig65	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774437	773947	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774438	779158	se_ill_se_contig43	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784328	779159	se_ill_se_contig41	contig_95	99.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805478	784329	se_ill_se_contig37	contig_95	99.99		True
translocation
103637	104041	805479	805883	se_ill_se_contig19	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805884	808270	se_ill_se_contig42	contig_95	99.96		True
translocation
1	660	808285	808944	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5023	809128	810806	se_ill_se_contig42	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810807	859944	se_ill_se_contig7	contig_95	100.0		True
inversion
49137	50103	860911	859945	se_ill_se_contig7	contig_95	100.0		True
inversion
50104	198853	860912	1009613	se_ill_se_contig7	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010754	1009614	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038435	1010755	se_ill_se_contig35	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038436	1039576	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039577	1091307	se_ill_se_contig26	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269142	1091487	se_ill_se_contig10	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269143	1270283	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365067	1270284	se_ill_se_contig20	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424025	1365068	se_ill_se_contig24	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427145	1424026	se_ill_se_contig48	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472004	1427146	se_ill_se_contig30	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472081	1474466	se_ill_se_contig42	contig_95	99.96		True
translocation
1	660	1474481	1475140	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5078	1475324	1477057	se_ill_se_contig42	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503267	1477161	se_ill_se_contig36	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504176	1503268	se_ill_se_contig57	contig_95	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746584	1504177	se_ill_se_contig5	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746585	1747725	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747726	1905756	se_ill_se_contig12	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906897	1905757	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906898	1909946	se_ill_se_contig49	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1909947	1913673	se_ill_se_contig47	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914201	1913674	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1991764	1914202	se_ill_se_contig23	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1993443	1991765	se_ill_se_contig42	contig_95	99.94		True
local misassembly
1	2387	1996845	1994460	se_ill_se_contig42	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2033611	1996974	se_ill_se_contig32	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2086638	2033612	se_ill_se_contig25	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2088529	2086795	se_ill_se_contig42	contig_95	99.88		True
translocation
1	660	2089372	2088713	se_ill_se_contig60	contig_95	100.0		True
translocation
56	2387	2091719	2089387	se_ill_se_contig42	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	104096	2195817	2091720	se_ill_se_contig19	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2195818	2196957	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44927	2241873	2196958	se_ill_se_contig29	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2243755	2242022	se_ill_se_contig42	contig_95	100.0		True
local misassembly
1	2387	2247158	2244772	se_ill_se_contig42	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	4426	2247235	2251660	se_ill_se_contig45	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	2251661	2252569	se_ill_se_contig57	contig_95	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32262	2284830	2252570	se_ill_se_contig33	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2286670	2284936	se_ill_se_contig42	contig_95	99.94		True
translocation
1	660	2287513	2286854	se_ill_se_contig60	contig_95	100.0		True
translocation
1	2387	2289914	2287528	se_ill_se_contig42	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
103637	104041	2290319	2289915	se_ill_se_contig19	contig_95	100.0		True
translocation
1	88508	2290320	2378826	se_ill_se_contig21	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	772	2379598	2378827	se_ill_se_contig59	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	106728	2486630	2379905	se_ill_se_contig18	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	2487062	2486631	se_ill_se_contig66	contig_95	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	150716	2637776	2487063	se_ill_se_contig13	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1243	2638964	2637777	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37101	2676065	2638965	se_ill_se_contig31	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2677206	2676066	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130129	2677207	2807330	se_ill_se_contig16	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	2810450	2807331	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	224077	3034522	2810451	se_ill_se_contig6	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	3036203	3034523	se_ill_se_contig42	contig_95	98.79		True
translocation
1	660	3037205	3036546	se_ill_se_contig60	contig_95	99.09		True
translocation
1	2387	3039706	3037320	se_ill_se_contig42	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	120824	3039863	3160682	se_ill_se_contig17	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	245826	3406889	3161067	se_ill_se_contig3	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	4520	3412170	3407651	se_ill_se_contig44	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	449	3412932	3413380	se_ill_se_contig3	contig_95	99.61		True
translocation
1	179991	3413381	3593369	se_ill_se_contig9	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	10344	3593844	3604187	se_ill_se_contig39	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	3604188	3607307	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	188840	3796214	3607308	se_ill_se_contig8	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	3796215	3797355	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32027	3797356	3829382	se_ill_se_contig34	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5210	3829383	3834537	se_ill_se_contig41	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	5662	3834538	3840200	se_ill_se_contig40	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	491	3840201	3840636	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	601	3841182	3840637	se_ill_se_contig62	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1514	3842641	3841183	se_ill_se_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2421	3845062	3842642	se_ill_se_contig50	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1733	3846740	3845063	se_ill_se_contig54	contig_95	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17381	3864121	3846741	se_ill_se_contig38	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	3866265	3864122	se_ill_se_contig52	contig_95	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2283	3866266	3868548	se_ill_se_contig51	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	3868940	3868549	se_ill_se_contig69	contig_95	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	139962	3868941	4008901	se_ill_se_contig14	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4008902	4010042	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	80782	4010043	4090821	se_ill_se_contig22	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	4092966	4090822	se_ill_se_contig52	contig_95	99.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	133795	4226754	4092967	se_ill_se_contig15	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4227894	4226755	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86784	4227895	4314671	se_ill_se_contig1	contig_95	99.98		True
local misassembly
87064	391817	4314672	4619424	se_ill_se_contig1	contig_95	99.99		True
local misassembly
391739	391817	4619520	4619598	se_ill_se_contig1	contig_95	97.47		True
local misassembly
392052	529984	4620007	4757933	se_ill_se_contig1	contig_95	99.99		True
CONTIG	contig_95	4757933	misassembled
75902	77235	1335	2	se_ill_se_contig11	contig_96	92.05		True
unknown
66851	67736	10328	9443	se_ill_se_contig11	contig_96	91.08		True
unknown
66425	66847	10754	10332	se_ill_se_contig11	contig_96	90.78		True
unknown
66181	66387	10996	10790	se_ill_se_contig11	contig_96	90.34		True
unknown
64235	64630	12945	12550	se_ill_se_contig11	contig_96	92.42		True
unknown
17655	17836	52958	52777	se_ill_se_contig11	contig_96	93.41		True
unknown
17537	17613	53068	52992	se_ill_se_contig11	contig_96	97.4		True
unknown
13204	13379	57402	57227	se_ill_se_contig11	contig_96	91.48		True
unknown
12913	13203	57694	57404	se_ill_se_contig11	contig_96	90.38		True
unknown
13644	13740	102558	102654	se_ill_se_contig4	contig_96	95.88		True
unknown
13761	13913	102672	102824	se_ill_se_contig4	contig_96	94.12		True
unknown
15973	16345	104878	105250	se_ill_se_contig4	contig_96	91.15		True
unknown
16660	16763	105568	105671	se_ill_se_contig4	contig_96	100.0		True
unknown
16764	16860	105677	105773	se_ill_se_contig4	contig_96	98.97		True
unknown
26700	27154	115448	115902	se_ill_se_contig4	contig_96	91.5		True
unknown
28279	32275	116898	120890	se_ill_se_contig4	contig_96	90.47		True
unknown
85644	86066	174953	175375	se_ill_se_contig4	contig_96	90.07		True
unknown
88746	89321	178093	178668	se_ill_se_contig4	contig_96	90.1		True
unknown
96906	97197	196218	196509	se_ill_se_contig4	contig_96	91.44		True
unknown
112872	114505	208674	210307	se_ill_se_contig4	contig_96	91.68		True
unknown
116097	116166	211898	211967	se_ill_se_contig4	contig_96	91.43		True
unknown
148160	148418	220310	220568	se_ill_se_contig4	contig_96	90.35		True
unknown
149842	149941	221973	222072	se_ill_se_contig4	contig_96	96.0		True
unknown
170710	171040	237285	237615	se_ill_se_contig4	contig_96	92.45		True
unknown
172693	172758	239257	239322	se_ill_se_contig4	contig_96	96.97		True
unknown
173411	173475	239901	239965	se_ill_se_contig4	contig_96	96.92		True
unknown
184139	184904	262402	263167	se_ill_se_contig4	contig_96	90.6		True
unknown
184922	185001	263187	263266	se_ill_se_contig4	contig_96	90.0		True
unknown
185493	185579	263759	263845	se_ill_se_contig4	contig_96	90.8		True
unknown
193760	193980	264861	265081	se_ill_se_contig4	contig_96	91.86		True
unknown
197592	197809	268775	268992	se_ill_se_contig4	contig_96	91.82		True
unknown
201789	201951	273026	273188	se_ill_se_contig4	contig_96	91.41		True
unknown
201966	202036	273205	273275	se_ill_se_contig4	contig_96	94.37		True
unknown
202158	202224	273397	273463	se_ill_se_contig4	contig_96	92.54		True
unknown
17756	17877	286307	286186	se_ill_se_contig37	contig_96	90.16		True
unknown
17515	17752	286548	286311	se_ill_se_contig37	contig_96	92.02		True
unknown
16277	17020	287787	287044	se_ill_se_contig37	contig_96	92.47		True
unknown
12888	13762	291161	290285	se_ill_se_contig37	contig_96	90.08		True
unknown
10129	10531	294087	293685	se_ill_se_contig37	contig_96	90.07		True
unknown
10006	10097	294207	294116	se_ill_se_contig37	contig_96	92.39		True
unknown
3675	3855	300453	300273	se_ill_se_contig37	contig_96	93.92		True
unknown
103859	104096	303690	303928	se_ill_se_contig19	contig_96	94.58		True
unknown
2	2387	303875	306258	se_ill_se_contig42	contig_96	97.95		True
unknown
3345	5078	307193	308928	se_ill_se_contig42	contig_96	97.3		True
unknown
160	239	309032	309111	se_ill_se_contig7	contig_96	90.0		True
unknown
5815	5895	314679	314759	se_ill_se_contig7	contig_96	91.36		True
unknown
5897	6242	314760	315105	se_ill_se_contig7	contig_96	91.33		True
unknown
6243	6340	315109	315206	se_ill_se_contig7	contig_96	92.86		True
unknown
6372	6489	315238	315355	se_ill_se_contig7	contig_96	90.68		True
unknown
13119	13500	321806	322187	se_ill_se_contig7	contig_96	97.64		True
unknown
13501	14264	322189	322952	se_ill_se_contig7	contig_96	92.54		True
unknown
14279	15251	322953	323925	se_ill_se_contig7	contig_96	91.88		True
unknown
15389	15535	324059	324205	se_ill_se_contig7	contig_96	91.16		True
unknown
18919	19014	327591	327686	se_ill_se_contig7	contig_96	91.67		True
unknown
20379	20580	328347	328548	se_ill_se_contig7	contig_96	92.57		True
unknown
23149	23374	331116	331342	se_ill_se_contig7	contig_96	94.71		True
unknown
42115	42501	333198	333585	se_ill_se_contig7	contig_96	97.17		True
unknown
73187	73382	374121	374316	se_ill_se_contig7	contig_96	90.82		True
unknown
74125	74189	375059	375123	se_ill_se_contig7	contig_96	93.85		True
unknown
81849	81935	382514	382600	se_ill_se_contig7	contig_96	98.85		True
unknown
90291	90714	388951	389374	se_ill_se_contig7	contig_96	90.8		True
unknown
104132	104222	392107	392197	se_ill_se_contig7	contig_96	100.0		True
unknown
104134	104383	392384	392633	se_ill_se_contig7	contig_96	94.8		True
unknown
104552	104765	392799	393012	se_ill_se_contig7	contig_96	98.6		True
unknown
104836	104913	393085	393162	se_ill_se_contig7	contig_96	91.03		True
unknown
105021	105239	393280	393498	se_ill_se_contig7	contig_96	94.98		True
unknown
105241	105421	393499	393679	se_ill_se_contig7	contig_96	93.92		True
unknown
107996	108108	396254	396366	se_ill_se_contig7	contig_96	96.46		True
unknown
109037	110018	397139	398120	se_ill_se_contig7	contig_96	91.55		True
unknown
127799	129779	418910	420890	se_ill_se_contig7	contig_96	90.31		True
unknown
105	1798	440889	442582	se_ill_se_contig35	contig_96	90.64		True
unknown
6103	6420	446868	447185	se_ill_se_contig35	contig_96	90.57		True
unknown
21882	21982	454469	454569	se_ill_se_contig35	contig_96	92.08		True
unknown
22386	22696	454971	455281	se_ill_se_contig35	contig_96	90.35		True
unknown
1726	3065	473294	474633	se_ill_se_contig26	contig_96	93.96		True
unknown
16953	17294	481511	481852	se_ill_se_contig26	contig_96	90.35		True
unknown
21165	21249	484691	484775	se_ill_se_contig26	contig_96	90.59		True
unknown
32004	32119	495481	495596	se_ill_se_contig26	contig_96	90.52		True
unknown
32448	32706	495925	496183	se_ill_se_contig26	contig_96	90.35		True
unknown
45822	46007	509226	509411	se_ill_se_contig26	contig_96	93.01		True
unknown
46008	46135	509420	509547	se_ill_se_contig26	contig_96	94.53		True
unknown
46149	46393	509564	509808	se_ill_se_contig26	contig_96	90.2		True
unknown
107522	108506	620626	619642	se_ill_se_contig10	contig_96	92.49		True
unknown
107240	107484	620908	620664	se_ill_se_contig10	contig_96	91.02		True
unknown
106988	107236	621160	620912	se_ill_se_contig10	contig_96	91.57		True
unknown
105017	105429	623086	622674	se_ill_se_contig10	contig_96	90.31		True
unknown
