S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102684	ec_ill_ec_contig2	contig_94	99.99		True
local misassembly
310191	312944	102685	105438	ec_ill_ec_contig2	contig_94	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303782	105528	ec_ill_ec_contig4	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306753	303783	ec_ill_ec_contig65	contig_94	99.9		True
local misassembly
1	1463	308613	307151	ec_ill_ec_contig65	contig_94	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308980	346279	ec_ill_ec_contig39	contig_94	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346375	346703	ec_ill_ec_contig104	contig_94	91.19		True
indel: indel (> 5bp)
384	502	346704	346822	ec_ill_ec_contig104	contig_94	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346895	392200	ec_ill_ec_contig15	contig_94	99.94		True
local misassembly
45064	105217	392215	452369	ec_ill_ec_contig15	contig_94	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452370	453601	ec_ill_ec_contig79	contig_94	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453602	514014	ec_ill_ec_contig31	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514202	857416	ec_ill_ec_contig1	contig_94	99.99		True
local misassembly
343563	393863	857417	907715	ec_ill_ec_contig1	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980676	907716	ec_ill_ec_contig16	contig_94	99.99		True
local misassembly
1	31383	1012058	980677	ec_ill_ec_contig16	contig_94	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015086	1012060	ec_ill_ec_contig65	contig_94	99.93		True
local misassembly
1	1463	1016953	1015490	ec_ill_ec_contig65	contig_94	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058501	1017224	ec_ill_ec_contig37	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059422	1058502	ec_ill_ec_contig83	contig_94	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059423	1206920	ec_ill_ec_contig7	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206921	1208844	ec_ill_ec_contig73	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209406	1208845	ec_ill_ec_contig91	contig_94	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209407	1210051	ec_ill_ec_contig94	contig_94	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210305	1212033	ec_ill_ec_contig75	contig_94	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212482	1212967	ec_ill_ec_contig104	contig_94	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220940	1213035	ec_ill_ec_contig60	contig_94	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222062	1220941	ec_ill_ec_contig80	contig_94	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222063	1315458	ec_ill_ec_contig20	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315459	1317381	ec_ill_ec_contig73	contig_94	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317943	1317382	ec_ill_ec_contig91	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317944	1318569	ec_ill_ec_contig94	contig_94	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318570	1390411	ec_ill_ec_contig25	contig_94	99.94		True
local misassembly [fragmentation of reference genome]
1	5324	1395844	1390519	ec_ill_ec_contig64	contig_94	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396127	1412197	ec_ill_ec_contig53	contig_94	99.98		True
translocation
26703	27345	1412198	1412840	ec_ill_ec_contig46	contig_94	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412841	1413295	ec_ill_ec_contig101	contig_94	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415877	1413296	ec_ill_ec_contig70	contig_94	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416160	1418584	ec_ill_ec_contig72	contig_94	100.0		True
translocation
4875	5324	1418585	1419034	ec_ill_ec_contig64	contig_94	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419747	1419137	ec_ill_ec_contig25	contig_94	97.25		True
translocation
1	22687	1442435	1419748	ec_ill_ec_contig48	contig_94	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442436	1442995	ec_ill_ec_contig92	contig_94	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442996	1444352	ec_ill_ec_contig77	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444866	1444353	ec_ill_ec_contig97	contig_94	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555952	1444867	ec_ill_ec_contig12	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556137	1557600	ec_ill_ec_contig65	contig_94	99.86		True
local misassembly
1876	4847	1557921	1560892	ec_ill_ec_contig65	contig_94	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649355	1560893	ec_ill_ec_contig23	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649759	1651221	ec_ill_ec_contig65	contig_94	99.86		True
local misassembly
1876	4902	1651634	1654663	ec_ill_ec_contig65	contig_94	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654883	1708569	ec_ill_ec_contig33	contig_94	99.98		True
local misassembly [fragmentation of reference genome]
1	71920	1708570	1780488	ec_ill_ec_contig24	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780887	1782350	ec_ill_ec_contig65	contig_94	99.86		True
local misassembly
1876	4902	1782671	1785697	ec_ill_ec_contig65	contig_94	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790184	1785917	ec_ill_ec_contig66	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790185	1791105	ec_ill_ec_contig83	contig_94	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821948	1791106	ec_ill_ec_contig43	contig_94	99.99		True
translocation
56	399	1822290	1821949	ec_ill_ec_contig6	contig_94	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822291	1823754	ec_ill_ec_contig65	contig_94	99.93		True
local misassembly
1876	4902	1824075	1827100	ec_ill_ec_contig65	contig_94	99.47		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827102	1830112	ec_ill_ec_contig8	contig_94	99.95		True
indel: stretch of mismatches
3012	83127	1830113	1910129	ec_ill_ec_contig8	contig_94	99.86		True
local misassembly
82979	138617	1910320	1965957	ec_ill_ec_contig8	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966510	1966025	ec_ill_ec_contig104	contig_94	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966606	1996866	ec_ill_ec_contig44	contig_94	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104811	1997058	ec_ill_ec_contig14	contig_94	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104812	2105922	ec_ill_ec_contig81	contig_94	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105923	2115617	ec_ill_ec_contig59	contig_94	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116139	2115690	ec_ill_ec_contig104	contig_94	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116140	2119683	ec_ill_ec_contig67	contig_94	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120372	2119684	ec_ill_ec_contig89	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209964	2120373	ec_ill_ec_contig21	contig_94	99.98		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218356	2210180	ec_ill_ec_contig35	contig_94	99.89		True
local misassembly
1	42569	2260923	2218357	ec_ill_ec_contig35	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262156	2260924	ec_ill_ec_contig79	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265341	2262157	ec_ill_ec_contig68	contig_94	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2265437	2265922	ec_ill_ec_contig104	contig_94	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287766	2265990	ec_ill_ec_contig49	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288320	2287835	ec_ill_ec_contig104	contig_94	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470187	2288416	ec_ill_ec_contig6	contig_94	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470188	2471595	ec_ill_ec_contig65	contig_94	99.52		True
local misassembly
1876	4847	2472008	2474980	ec_ill_ec_contig65	contig_94	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492337	2474981	ec_ill_ec_contig52	contig_94	99.89		True
local misassembly [fragmentation of reference genome]
6	105426	2492956	2598376	ec_ill_ec_contig5	contig_94	99.79		True
local misassembly
105527	184250	2598377	2677100	ec_ill_ec_contig5	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2678333	2677101	ec_ill_ec_contig79	contig_94	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2678334	2745381	ec_ill_ec_contig29	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2746263	2806252	ec_ill_ec_contig32	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2806253	2807486	ec_ill_ec_contig79	contig_94	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2894122	2807487	ec_ill_ec_contig10	contig_94	99.85		True
local misassembly
1	32653	2926776	2894123	ec_ill_ec_contig10	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	2926777	2928700	ec_ill_ec_contig73	contig_94	98.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	2929262	2928701	ec_ill_ec_contig91	contig_94	95.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	2929263	2929907	ec_ill_ec_contig94	contig_94	99.22		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	2930161	2931188	ec_ill_ec_contig84	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	645	2931189	2931778	ec_ill_ec_contig94	contig_94	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	331	2931779	2932089	ec_ill_ec_contig25	contig_94	97.72		True
translocation
1	1672	2932090	2933756	ec_ill_ec_contig76	contig_94	99.64		True
translocation
182	998	2933757	2934572	ec_ill_ec_contig36	contig_94	94.92		True
relocation, inconsistency = -1267
1	43039	2934842	2977877	ec_ill_ec_contig36	contig_94	99.96		True
local misassembly
42883	42981	2978026	2978124	ec_ill_ec_contig36	contig_94	98.99		True
local misassembly [fragmentation of reference genome]
1	101963	2978754	3080711	ec_ill_ec_contig17	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3081265	3080780	ec_ill_ec_contig104	contig_94	91.77		True
local misassembly [fragmentation of reference genome]
1	4424	3081361	3085784	ec_ill_ec_contig28	contig_94	100.0		True
translocation
1	5981	3085785	3091765	ec_ill_ec_contig63	contig_94	99.95		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3092318	3091833	ec_ill_ec_contig104	contig_94	91.77		True
local misassembly [fragmentation of reference genome]
1	70123	3092414	3162535	ec_ill_ec_contig28	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	3162536	3163768	ec_ill_ec_contig79	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	3253099	3163769	ec_ill_ec_contig22	contig_94	99.98		True
