All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 34              34                    34                     34                     33                    34                    31               34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    31             
  # contig misassemblies                        34              34                    34                     34                     33                    34                    31               34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    31             
    # c. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # c. translocations                         34              34                    34                     34                     33                    34                    31               34              34                    34                     34                     34                    34                    31               34              34                    34                     34                     34                    34                    31             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     4045595         4045617               4045595                4045588                4045225               4045305               4042957          4045604         4045620               4045593                4045591                4045221               4045309               4043006          4045604         4045624               4045591                4045594                4045221               4045286               4043031        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    10              10                    10                     10                     10                    10                    11               10              10                    10                     10                     10                    10                    11               10              10                    10                     10                     10                    10                    11             
# local misassemblies                           13              13                    13                     13                     12                    13                    19               13              13                    13                     13                     13                    13                    17               13              13                    13                     13                     13                    13                    17             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  49              49                    49                     49                     50                    49                    30               49              49                    49                     49                     49                    49                    30               49              49                    49                     49                     49                    49                    30             
# unaligned mis. contigs                        6               6                     6                      6                      6                     6                     6                6               6                     6                      6                      6                     6                     5                6               6                     6                      6                      6                     6                     4              
# mismatches                                    3927            3830                  3821                   3846                   3921                  4021                  3491             3894            3815                  3875                   3839                   3918                  3893                  3424             3894            3815                  3871                   3857                   3972                  3910                  3416           
# indels                                        448             448                   409                    419                    864                   802                   4165             436             440                   416                    425                    909                   787                   4173             436             439                   425                    414                    893                   810                   4170           
    # indels (<= 5 bp)                          397             398                   361                    370                    815                   753                   4109             386             391                   367                    376                    859                   737                   4110             386             390                   376                    366                    845                   762                   4106           
    # indels (> 5 bp)                           51              50                    48                     49                     49                    49                    56               50              49                    49                     49                     50                    50                    63               50              49                    49                     48                     48                    48                    64             
Indels length                                   2608            2601                  2529                   2556                   3043                  3014                  7179             2577            2580                  2555                   2561                   3163                  3023                  7354             2577            2579                  2563                   2537                   3149                  3012                  7350           
