S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124898	124977	146	225	sa_ill_sa_contig10	contig_103	97.5		False
125386	125480	633	727	sa_ill_sa_contig10	contig_103	94.74		False
305	382	370185	370263	sa_ill_sa_contig51	contig_103	98.73		False
1	161	370185	370358	sa_ill_sa_contig51	contig_103	92.53		False
105	186	403287	403206	sa_ill_sa_contig25	contig_103	100.0		False
164	242	403291	403369	sa_ill_sa_contig23	contig_103	100.0		False
306	382	403465	403542	sa_ill_sa_contig51	contig_103	98.72		False
890	964	404027	403953	ef_ill_ef_contig21	contig_103	93.33		False
691	773	404235	404153	ef_ill_ef_contig21	contig_103	93.98		False
1	75	404316	404242	ef_ill_ef_contig16	contig_103	100.0		False
502	577	404317	404242	lf_ill_lf_contig69	contig_103	94.74		False
610	689	404320	404241	ef_ill_ef_contig21	contig_103	100.0		False
439	523	404326	404242	lm_ill_lm_contig37	contig_103	96.47		False
429	521	404506	404414	ef_ill_ef_contig21	contig_103	95.7		False
269	356	404507	404420	lm_ill_lm_contig37	contig_103	95.45		False
324	418	404514	404420	lf_ill_lf_contig69	contig_103	94.74		False
98793	98873	404595	404675	bs_ill_bs_contig3	contig_103	91.36		False
276	350	404756	404682	sa_ill_sa_contig25	contig_103	100.0		False
98882	98963	404676	404757	bs_ill_bs_contig3	contig_103	93.9		False
92	173	404758	404677	bs_ill_bs_contig1326	contig_103	93.9		False
1	79	404928	404850	sa_ill_sa_contig25	contig_103	100.0		False
87	460	404683	405056	sa_ill_sa_contig23	contig_103	99.2		False
1535	1614	408694	408615	lm_ill_lm_contig16	contig_103	95.0		False
1617	1697	408694	408614	ef_ill_ef_contig19	contig_103	92.59		False
891	980	408901	408812	lf_ill_lf_contig57	contig_103	94.44		False
854	982	408925	408797	bs_ill_bs_contig933	contig_103	94.57		False
779	853	409014	408940	lf_ill_lf_contig57	contig_103	98.67		False
761	853	409019	408927	bs_ill_bs_contig933	contig_103	96.77		False
1208	1305	409024	408927	lm_ill_lm_contig16	contig_103	96.94		False
1289	1386	409024	408927	ef_ill_ef_contig19	contig_103	96.94		False
628	714	409153	409067	bs_ill_bs_contig933	contig_103	97.7		False
1068	1166	409165	409067	lm_ill_lm_contig16	contig_103	95.96		False
1149	1247	409165	409067	ef_ill_ef_contig19	contig_103	95.96		False
629	727	409165	409067	lf_ill_lf_contig57	contig_103	94.95		False
1410	1508	409165	409067	pa_ill_pa_contig44	contig_103	90.91		False
975	1064	409259	409170	lm_ill_lm_contig16	contig_103	100.0		False
523	612	409259	409170	bs_ill_bs_contig933	contig_103	100.0		False
1056	1145	409259	409170	ef_ill_ef_contig19	contig_103	94.44		False
536	625	409259	409170	lf_ill_lf_contig57	contig_103	91.11		False
412	488	409367	409291	bs_ill_bs_contig933	contig_103	92.21		False
864	940	409367	409291	lm_ill_lm_contig16	contig_103	90.91		False
655	827	409574	409402	lm_ill_lm_contig16	contig_103	91.91		False
203	376	409574	409401	bs_ill_bs_contig933	contig_103	91.38		False
735	909	409575	409401	ef_ill_ef_contig19	contig_103	91.43		False
480	567	409750	409663	lm_ill_lm_contig16	contig_103	94.32		False
27	114	409750	409663	bs_ill_bs_contig933	contig_103	94.32		False
41	128	409750	409663	lf_ill_lf_contig57	contig_103	93.18		False
561	648	409750	409663	ef_ill_ef_contig19	contig_103	92.05		False
142	348	438138	438344	sa_ill_sa_contig31	contig_103	97.58		False
1	133	478270	478138	sa_ill_sa_contig31	contig_103	98.5		False
134184	134302	478192	478310	sa_ill_sa_contig7	contig_103	97.48		False
131884	131983	478401	478302	sa_ill_sa_contig8	contig_103	98.0		False
45829	46373	478418	477875	sa_ill_sa_contig14	contig_103	98.17		False
106923	107136	478419	478206	sa_ill_sa_contig3	contig_103	99.53		False
18228	18355	654246	654121	bs_ill_bs_contig20	contig_103	94.53		False
10552	10623	654181	654252	sa_ill_sa_contig9	contig_103	100.0		False
249	397	654329	654180	sa_ill_sa_contig34	contig_103	99.33		False
169546	169626	654253	654334	sa_ill_sa_contig3	contig_103	98.78		False
98002	98191	789698	789887	sa_ill_sa_contig11	contig_103	97.89		False
45846	46038	789695	789887	sa_ill_sa_contig14	contig_103	98.45		False
106941	107135	789695	789889	sa_ill_sa_contig3	contig_103	98.46		False
98340	98600	789909	790169	sa_ill_sa_contig11	contig_103	95.02		False
46187	46447	789909	790169	sa_ill_sa_contig14	contig_103	94.64		False
46187	46447	789909	790169	sa_ill_sa_contig14	contig_103	94.64		False
70243	70357	790245	790131	sa_ill_sa_contig12	contig_103	98.26		False
78636	78790	939605	939452	sa_ill_sa_contig8	contig_103	98.06		False
46303	46464	939605	939445	sa_ill_sa_contig4	contig_103	97.53		False
206209	206371	939605	939444	sa_ill_sa_contig2	contig_103	98.16		False
