S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52854	se_ill_se_contig27	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350686	52855	se_ill_se_contig2	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350687	351079	se_ill_se_contig69	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355146	351080	se_ill_se_contig46	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355147	358818	se_ill_se_contig47	contig_37	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358819	360595	se_ill_se_contig53	contig_37	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361082	360596	se_ill_se_contig63	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85543	162102	437631	361083	se_ill_se_contig11	contig_37	99.99		True
local misassembly
1	85606	523356	437758	se_ill_se_contig11	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524497	523357	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524498	538222	se_ill_se_contig4	contig_37	100.0		True
local misassembly
13844	16547	538223	540925	se_ill_se_contig4	contig_37	98.95		True
local misassembly
16782	245298	540926	769443	se_ill_se_contig4	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769444	771176	se_ill_se_contig54	contig_37	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771177	772022	se_ill_se_contig58	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772023	773536	se_ill_se_contig55	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773537	773968	se_ill_se_contig65	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774459	773969	se_ill_se_contig64	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774460	779179	se_ill_se_contig43	contig_37	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
144	5265	784200	779180	se_ill_se_contig41	contig_37	97.89		True
translocation
1	21093	805338	784257	se_ill_se_contig37	contig_37	99.94		True
translocation
103637	104041	805339	805743	se_ill_se_contig19	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805744	808117	se_ill_se_contig42	contig_37	99.37		True
translocation
1	660	808132	808791	se_ill_se_contig60	contig_37	100.0		True
translocation
3345	5023	808975	810653	se_ill_se_contig42	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810654	859797	se_ill_se_contig7	contig_37	99.98		True
inversion
49137	50103	860764	859798	se_ill_se_contig7	contig_37	100.0		True
inversion
50104	198853	860765	1009511	se_ill_se_contig7	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010652	1009512	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038331	1010653	se_ill_se_contig35	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038332	1039472	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039473	1091203	se_ill_se_contig26	contig_37	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269052	1091383	se_ill_se_contig10	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269053	1270193	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1364977	1270194	se_ill_se_contig20	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1423935	1364978	se_ill_se_contig24	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427055	1423936	se_ill_se_contig48	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1471912	1427056	se_ill_se_contig30	contig_37	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1471989	1474375	se_ill_se_contig42	contig_37	100.0		True
translocation
1	660	1474390	1475049	se_ill_se_contig60	contig_37	100.0		True
translocation
3345	5078	1475233	1476966	se_ill_se_contig42	contig_37	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503175	1477070	se_ill_se_contig36	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504084	1503176	se_ill_se_contig57	contig_37	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746492	1504085	se_ill_se_contig5	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746493	1747633	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747634	1905667	se_ill_se_contig12	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906808	1905668	se_ill_se_contig56	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906809	1909857	se_ill_se_contig49	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
