All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# contigs (>= 5000 bp)       7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7              
# contigs (>= 10000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7              
# contigs (>= 25000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7              
# contigs (>= 50000 bp)      7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7              
Total length (>= 5000 bp)    24075406        24070890              24072753               24062203               24060263              24054195              24062019         24074923        24071344              24072870               24062184               24061558              24055354              24061981         24074822        24070715              24072827               24063225               24060618              24054198              24061619       
Total length (>= 10000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              24062019         24074923        24071344              24072870               24062184               24061558              24055354              24061981         24074822        24070715              24072827               24063225               24060618              24054198              24061619       
Total length (>= 25000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              24062019         24074923        24071344              24072870               24062184               24061558              24055354              24061981         24074822        24070715              24072827               24063225               24060618              24054198              24061619       
Total length (>= 50000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              24062019         24074923        24071344              24072870               24062184               24061558              24055354              24061981         24074822        24070715              24072827               24063225               24060618              24054198              24061619       
# contigs                    7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7                7               7                     7                      7                      7                     7                     7              
Largest contig               4766016         4765867               4765431                4765364                4764829               4764690               4764018          4765469         4765339               4765413                4765389                4765359               4764750               4763884          4765404         4765326               4765369                4765362                4764572               4764639               4763513        
Total length                 24075406        24070890              24072753               24062203               24060263              24054195              24062019         24074923        24071344              24072870               24062184               24061558              24055354              24061981         24074822        24070715              24072827               24063225               24060618              24054198              24061619       
Reference length             1805517         1805517               1805517                1805517                1805517               1805517               1805517          1805517         1805517               1805517                1805517                1805517               1805517               1805517          1805517         1805517               1805517                1805517                1805517               1805517               1805517        
GC (%)                       44.80           44.80                 44.80                  44.80                  44.79                 44.78                 44.77            44.80           44.80                 44.80                  44.80                  44.79                 44.79                 44.77            44.80           44.80                 44.80                  44.80                  44.79                 44.78                 44.77          
Reference GC (%)             52.72           52.72                 52.72                  52.72                  52.72                 52.72                 52.72            52.72           52.72                 52.72                  52.72                  52.72                 52.72                 52.72            52.72           52.72                 52.72                  52.72                  52.72                 52.72                 52.72          
N50                          4045595         4045617               4045595                4045588                4045225               4045305               4042957          4045604         4045620               4045593                4045591                4045221               4045309               4043006          4045604         4045624               4045591                4045594                4045221               4045286               4043031        
NG50                         4766016         4765867               4765431                4765364                4764829               4764690               4764018          4765469         4765339               4765413                4765389                4765359               4764750               4763884          4765404         4765326               4765369                4765362                4764572               4764639               4763513        
N75                          2845426         2845369               2845429                2845431                2845288               2845343               2843857          2845426         2845369               2845430                2845431                2845286               2845339               2843857          2845426         2845369               2845430                2845431                2845286               2845339               2843857        
NG75                         4766016         4765867               4765431                4765364                4764829               4764690               4764018          4765469         4765339               4765413                4765389                4765359               4764750               4763884          4765404         4765326               4765369                4765362                4764572               4764639               4763513        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
LG50                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
LG75                         1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
# misassemblies              74              73                    74                     78                     74                    80                    76               74              73                    73                     77                     74                    78                    75               74              73                    73                     76                     74                    80                    75             
