S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
95	183	2133	2221	bs_ill_bs_contig1146	contig_11	91.01		False
1863	1977	2313	2427	lf_ill_lf_contig57	contig_11	91.3		False
386	504	2429	2311	ef_ill_ef_contig25	contig_11	96.64		False
2799	2936	2450	2313	lm_ill_lm_contig12	contig_11	93.48		False
480	720	2518	2758	bs_ill_bs_contig1146	contig_11	95.44		False
4	288	2817	2533	ef_ill_ef_contig25	contig_11	90.18		False
2427	2730	2821	2518	lm_ill_lm_contig12	contig_11	92.76		False
2249	2365	3006	2890	ef_ill_ef_contig17	contig_11	92.31		False
2165	2233	3089	3021	ef_ill_ef_contig17	contig_11	95.65		False
2567	2643	3014	3090	lf_ill_lf_contig57	contig_11	90.91		False
2688	2883	3135	3330	lf_ill_lf_contig57	contig_11	93.37		False
1921	2135	3333	3119	ef_ill_ef_contig17	contig_11	95.35		False
1910	2127	3336	3119	lm_ill_lm_contig12	contig_11	91.74		False
1677	1863	3564	3378	lm_ill_lm_contig12	contig_11	90.37		False
105	553	3567	3119	bs_ill_bs_contig991	contig_11	91.09		False
1367	1447	3876	3796	lm_ill_lm_contig12	contig_11	97.53		False
3780	3873	4033	4126	ec_ill_ec_contig65	contig_11	96.81		False
960	1053	4126	4033	se_ill_se_contig42	contig_11	96.81		False
4403	4500	4033	4130	pa_ill_pa_contig44	contig_11	96.94		False
3436	3788	3890	4242	lf_ill_lf_contig57	contig_11	92.07		False
1019	1366	4244	3897	ef_ill_ef_contig17	contig_11	95.11		False
965	1346	4277	3896	lm_ill_lm_contig12	contig_11	94.76		False
701	885	4541	4357	lm_ill_lm_contig12	contig_11	90.81		False
722	923	4541	4340	ef_ill_ef_contig17	contig_11	93.56		False
4288	4511	4542	4765	ec_ill_ec_contig65	contig_11	90.62		False
322	545	4765	4542	se_ill_se_contig42	contig_11	90.62		False
4903	5134	4533	4765	pa_ill_pa_contig44	contig_11	90.56		False
1	1068	4825	3758	bs_ill_bs_contig839	contig_11	93.74		False
