Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_1_MP	7	7	7	7	24074494	24074494	24074494	24074494	7	4765367	24074494	1805517	44.80	52.72	4045598	4765367	2845422	4765367	3	1	5	1	74	1	1947367	12	0	0	6	0 + 7 part	22082019	99.936	1.104	0.00	267.38	11.70	177208	1988775	89791	35503	8	16
r10_1bin_1_MP_helen	7	7	7	7	24070200	24070200	24070200	24070200	7	4765335	24070200	1805517	44.80	52.72	4045621	4765335	2845369	4765335	3	1	5	1	73	1	1945999	14	0	0	6	0 + 7 part	22079949	99.870	1.104	0.00	266.45	11.65	177205	1984219	88351	35032	8	17
r10_1bin_1_r1_medaka	7	7	7	7	24072211	24072211	24072211	24072211	7	4765354	24072211	1805517	44.80	52.72	4045594	4765354	2845428	4765354	3	1	5	1	75	1	1945572	27	0	0	6	0 + 7 part	22084683	99.927	1.102	0.00	299.34	15.19	176662	1981606	89897	34836	8	17
r10_1bin_1_r2_medaka	7	7	7	7	24064284	24064284	24064284	24064284	7	4765366	24064284	1805517	44.80	52.72	4045589	4765366	2845432	4765366	3	1	5	1	77	1	1938095	32	0	0	6	0 + 7 part	22084293	99.931	1.098	0.00	286.46	12.92	177195	1974020	89503	34836	8	17
r10_1bin_1_racon_r1	7	7	7	7	24060998	24060998	24060998	24060998	7	4764519	24060998	1805517	44.79	52.72	4045227	4764519	2845260	4764519	3	1	5	1	75	1	1935544	43	0	0	6	0 + 7 part	22078625	99.912	1.099	0.00	274.38	57.99	176544	1978403	89759	34818	8	17
r10_1bin_1_racon_r2	7	7	7	7	24055678	24055678	24055678	24055678	7	4764885	24055678	1805517	44.78	52.72	4045309	4764885	2845328	4764885	3	1	5	1	79	1	1929697	41	0	0	6	0 + 7 part	22077932	99.901	1.097	0.00	272.08	51.73	176771	1973897	88942	34819	8	17
r10_1bin_1_raw	7	7	7	7	24060917	24060917	24060917	24060917	7	4763493	24060917	1805517	44.77	52.72	4043006	4763493	2843368	4763493	3	1	5	1	75	1	1945498	30	0	0	6	0 + 7 part	22111532	99.862	1.081	0.00	350.56	350.45	176989	1945915	69730	34946	8	18
r10_1bin_2_MP	7	7	7	7	24074257	24074257	24074257	24074257	7	4765367	24074257	1805517	44.80	52.72	4045598	4765367	2845425	4765367	3	1	5	1	73	1	1947264	12	0	0	6	0 + 7 part	22082100	99.943	1.104	0.00	267.03	12.36	177205	1986078	89791	35032	8	17
r10_1bin_2_MP_helen	7	7	7	7	24070195	24070195	24070195	24070195	7	4765342	24070195	1805517	44.80	52.72	4045629	4765342	2845372	4765342	3	1	5	1	73	1	1945994	13	0	1	6	0 + 7 part	22079474	99.879	1.104	0.04	266.98	10.81	177204	1984632	88582	35032	8	17
r10_1bin_2_r1_medaka	7	7	7	7	24072707	24072707	24072707	24072707	7	4765360	24072707	1805517	44.80	52.72	4045591	4765360	2845428	4765360	3	1	5	1	74	1	1946130	28	0	0	6	0 + 7 part	22085545	99.863	1.102	0.00	294.37	14.64	177197	1983573	79489	35502	8	17
r10_1bin_2_r2_medaka	7	7	7	7	24061315	24061315	24061315	24061315	7	4765365	24061315	1805517	44.79	52.72	4045590	4765365	2845431	4765365	3	1	5	1	78	1	1935173	26	0	0	6	0 + 7 part	22081744	99.919	1.097	0.00	285.67	11.81	177197	1975881	83605	35032	8	17
r10_1bin_2_racon_r1	7	7	7	7	24060258	24060258	24060258	24060258	7	4764481	24060258	1805517	44.79	52.72	4045220	4764481	2845275	4764481	3	1	5	1	75	1	1934812	42	0	0	6	0 + 7 part	22080696	99.849	1.098	0.00	268.11	60.19	176879	1976205	69716	35016	9	18
r10_1bin_2_racon_r2	7	7	7	7	24055824	24055824	24055824	24055824	7	4764611	24055824	1805517	44.78	52.72	4045285	4764611	2845354	4764611	3	1	5	1	78	1	1930121	34	0	0	6	0 + 7 part	22079677	99.906	1.096	0.00	269.46	54.45	177110	1967892	83544	35022	8	17
r10_1bin_2_raw	7	7	7	7	24061249	24061249	24061249	24061249	7	4763481	24061249	1805517	44.77	52.72	4043036	4763481	2843858	4763481	3	1	5	1	75	1	1945704	29	0	0	6	0 + 7 part	22110170	99.881	1.082	0.00	361.70	350.38	176985	1945252	69730	34945	8	18
r10_1bin_3_MP	7	7	7	7	24075009	24075009	24075009	24075009	7	4765870	24075009	1805517	44.80	52.72	4045598	4765870	2845425	4765870	3	1	5	1	74	1	1947347	11	0	0	6	0 + 7 part	22082504	99.943	1.104	0.00	268.64	11.75	177205	1986419	89790	35032	8	17
r10_1bin_3_MP_helen	7	7	7	7	24068751	24068751	24068751	24068751	7	4765291	24068751	1805517	44.80	52.72	4045626	4765291	2845364	4765291	3	1	5	1	73	1	1944592	15	0	0	6	0 + 7 part	22080180	99.794	1.104	0.00	268.21	12.32	177206	1982430	87200	35032	8	17
r10_1bin_3_r1_medaka	7	7	7	7	24072195	24072195	24072195	24072195	7	4765346	24072195	1805517	44.80	52.72	4045592	4765346	2845429	4765346	3	1	5	1	75	1	1945545	28	0	0	6	0 + 7 part	22084959	99.879	1.102	0.00	305.58	14.86	177198	1981309	79490	35032	8	18
r10_1bin_3_r2_medaka	7	7	7	7	24065063	24065063	24065063	24065063	7	4765353	24065063	1805517	44.80	52.72	4045592	4765353	2845427	4765353	3	1	5	1	78	1	1938875	26	0	0	6	0 + 7 part	22085857	99.890	1.098	0.00	285.14	14.09	177198	1973257	69610	35032	9	18
r10_1bin_3_racon_r1	7	7	7	7	24060094	24060094	24060094	24060094	7	4764528	24060094	1805517	44.78	52.72	4045212	4764528	2845297	4764528	3	1	5	1	79	1	1934569	47	0	0	6	0 + 7 part	22078815	99.869	1.099	0.00	272.17	56.96	176455	1975490	79431	34818	8	18
r10_1bin_3_racon_r2	7	7	7	7	24056380	24056380	24056380	24056380	7	4764900	24056380	1805517	44.78	52.72	4045306	4764900	2845324	4764900	3	1	5	1	79	1	1930417	33	0	0	6	0 + 7 part	22079748	99.873	1.096	0.00	267.33	56.52	177102	1970859	69513	35008	9	18
