S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	188	188	1	sa_ill_sa_contig13	contig_104	100.0		False
305	382	370241	370319	sa_ill_sa_contig51	contig_104	98.73		False
1	161	370241	370414	sa_ill_sa_contig51	contig_104	92.53		False
105	186	403373	403292	sa_ill_sa_contig25	contig_104	100.0		False
164	242	403377	403455	sa_ill_sa_contig23	contig_104	100.0		False
306	382	403551	403628	sa_ill_sa_contig51	contig_104	98.72		False
9108	9197	403944	404032	sa_ill_sa_contig20	contig_104	97.78		False
890	964	404115	404041	ef_ill_ef_contig21	contig_104	93.33		False
691	773	404323	404241	ef_ill_ef_contig21	contig_104	95.18		False
1	75	404404	404330	ef_ill_ef_contig16	contig_104	100.0		False
502	577	404405	404330	lf_ill_lf_contig69	contig_104	94.74		False
610	689	404408	404329	ef_ill_ef_contig21	contig_104	100.0		False
439	523	404414	404330	lm_ill_lm_contig37	contig_104	96.47		False
429	521	404595	404503	ef_ill_ef_contig21	contig_104	96.77		False
269	356	404596	404509	lm_ill_lm_contig37	contig_104	95.45		False
324	418	404603	404509	lf_ill_lf_contig69	contig_104	93.68		False
276	350	404846	404772	sa_ill_sa_contig25	contig_104	100.0		False
98882	98963	404766	404847	bs_ill_bs_contig3	contig_104	93.9		False
92	173	404848	404767	bs_ill_bs_contig1326	contig_104	93.9		False
1	79	405018	404940	sa_ill_sa_contig25	contig_104	100.0		False
87	460	404773	405146	sa_ill_sa_contig23	contig_104	99.2		False
304	384	405323	405403	lm_ill_lm_contig12	contig_104	92.59		False
8	169	405484	405323	bs_ill_bs_contig13	contig_104	95.06		False
4282	4511	405726	405497	ec_ill_ec_contig65	contig_104	90.87		False
322	551	405497	405726	se_ill_se_contig42	contig_104	90.87		False
4903	5134	405728	405497	pa_ill_pa_contig44	contig_104	90.95		False
396	885	405415	405904	lm_ill_lm_contig12	contig_104	95.1		False
223	726	405415	405918	lf_ill_lf_contig82	contig_104	95.83		False
325	923	405323	405921	ef_ill_ef_contig17	contig_104	94.49		False
3780	3873	406228	406135	ec_ill_ec_contig65	contig_104	96.81		False
960	1053	406135	406228	se_ill_se_contig42	contig_104	96.81		False
4403	4500	406228	406131	pa_ill_pa_contig44	contig_104	96.94		False
1019	1366	406017	406364	ef_ill_ef_contig17	contig_104	95.11		False
965	1346	405984	406365	lm_ill_lm_contig12	contig_104	94.76		False
3436	3788	406371	406019	lf_ill_lf_contig57	contig_104	92.07		False
1367	1447	406385	406465	lm_ill_lm_contig12	contig_104	97.53		False
1	1068	405437	406503	bs_ill_bs_contig839	contig_104	93.83		False
1677	1863	406697	406883	lm_ill_lm_contig12	contig_104	90.37		False
2688	2883	407126	406931	lf_ill_lf_contig57	contig_104	93.37		False
1921	2135	406928	407142	ef_ill_ef_contig17	contig_104	95.35		False
1910	2127	406925	407142	lm_ill_lm_contig12	contig_104	91.74		False
105	553	406694	407142	bs_ill_bs_contig991	contig_104	91.09		False
2165	2233	407172	407240	ef_ill_ef_contig17	contig_104	95.65		False
2567	2643	407247	407171	lf_ill_lf_contig57	contig_104	90.91		False
2249	2365	407255	407371	ef_ill_ef_contig17	contig_104	92.31		False
480	720	407744	407504	bs_ill_bs_contig1146	contig_104	95.85		False
2427	2730	407441	407744	lm_ill_lm_contig12	contig_104	93.09		False
1863	1977	407949	407835	lf_ill_lf_contig57	contig_104	91.3		False
386	514	407833	407961	ef_ill_ef_contig25	contig_104	93.8		False
2799	2950	407812	407963	lm_ill_lm_contig12	contig_104	92.11		False
563	681	408011	408129	ef_ill_ef_contig25	contig_104	94.12		False
688	765	408353	408430	sa_ill_sa_contig51	contig_104	100.0		False
1243	1307	408520	408456	lf_ill_lf_contig69	contig_104	100.0		False
3804	3891	409027	409114	se_ill_se_contig42	contig_104	90.91		False
950	1024	409116	409042	ec_ill_ec_contig65	contig_104	94.67		False
779	853	409117	409043	lf_ill_lf_contig57	contig_104	98.67		False
1397	1503	409282	409176	pa_ill_pa_contig44	contig_104	96.26		False
786	906	409282	409162	ec_ill_ec_contig65	contig_104	93.39		False
3937	4076	409162	409301	se_ill_se_contig42	contig_104	91.43		False
500	759	409398	409139	lf_ill_lf_contig57	contig_104	91.54		False
4115	4186	409341	409412	se_ill_se_contig42	contig_104	94.44		False
656	727	409413	409342	ec_ill_ec_contig65	contig_104	94.44		False
1	982	409883	408901	bs_ill_bs_contig933	contig_104	92.83		False
2	91	409830	409919	bs_ill_bs_contig3	contig_104	94.44		False
496	1806	409922	408609	ef_ill_ef_contig19	contig_104	91.82		False
174	1724	410158	408609	lm_ill_lm_contig16	contig_104	90.44		False
261	334	410086	410159	bs_ill_bs_contig3	contig_104	93.24		False
142	348	438241	438447	sa_ill_sa_contig31	contig_104	97.58		False
1	133	478394	478262	sa_ill_sa_contig31	contig_104	98.5		False
134184	134302	478316	478434	sa_ill_sa_contig7	contig_104	97.48		False
131884	131983	478525	478426	sa_ill_sa_contig8	contig_104	98.0		False
45829	46373	478542	477999	sa_ill_sa_contig14	contig_104	98.17		False
106923	107136	478543	478330	sa_ill_sa_contig3	contig_104	99.53		False
38188	38352	540760	540924	sa_ill_sa_contig23	contig_104	95.76		False
343	460	541019	541136	sa_ill_sa_contig23	contig_104	100.0		False
304	384	541309	541389	lm_ill_lm_contig12	contig_104	92.59		False
8	169	541470	541309	bs_ill_bs_contig13	contig_104	95.06		False
396	700	541401	541705	lm_ill_lm_contig12	contig_104	97.7		False
325	721	541309	541705	ef_ill_ef_contig17	contig_104	94.96		False
4288	4511	541706	541483	ec_ill_ec_contig65	contig_104	90.62		False
322	545	541483	541706	se_ill_se_contig42	contig_104	90.62		False
4903	5134	541715	541483	pa_ill_pa_contig44	contig_104	90.56		False
701	885	541707	541891	lm_ill_lm_contig12	contig_104	90.81		False
223	726	541401	541905	lf_ill_lf_contig82	contig_104	95.64		False
722	923	541707	541908	ef_ill_ef_contig17	contig_104	93.56		False
3780	3873	542215	542122	ec_ill_ec_contig65	contig_104	96.81		False
960	1053	542122	542215	se_ill_se_contig42	contig_104	96.81		False
4403	4500	542215	542118	pa_ill_pa_contig44	contig_104	96.94		False
1019	1366	542004	542351	ef_ill_ef_contig17	contig_104	95.11		False
965	1346	541971	542352	lm_ill_lm_contig12	contig_104	94.76		False
3436	3788	542358	542006	lf_ill_lf_contig57	contig_104	92.07		False
1367	1447	542372	542452	lm_ill_lm_contig12	contig_104	97.53		False
1	1068	541423	542490	bs_ill_bs_contig839	contig_104	93.74		False
2688	2883	543113	542918	lf_ill_lf_contig57	contig_104	93.37		False
1921	2135	542915	543129	ef_ill_ef_contig17	contig_104	95.35		False
1910	2127	542912	543129	lm_ill_lm_contig12	contig_104	91.74		False
105	553	542681	543129	bs_ill_bs_contig991	contig_104	90.87		False
2165	2233	543159	543227	ef_ill_ef_contig17	contig_104	95.65		False
2567	2643	543234	543158	lf_ill_lf_contig57	contig_104	90.91		False
2249	2365	543242	543358	ef_ill_ef_contig17	contig_104	92.31		False
480	720	543729	543489	bs_ill_bs_contig1146	contig_104	95.85		False
2427	2730	543426	543729	lm_ill_lm_contig12	contig_104	93.09		False
1863	1977	543934	543820	lf_ill_lf_contig57	contig_104	91.3		False
2799	2936	543797	543934	lm_ill_lm_contig12	contig_104	93.48		False
386	504	543818	543936	ef_ill_ef_contig25	contig_104	96.64		False
95	183	544114	544026	bs_ill_bs_contig1146	contig_104	91.01		False
1098	1286	544779	544591	lf_ill_lf_contig57	contig_104	91.01		False
3804	3891	545004	545091	se_ill_se_contig42	contig_104	90.91		False
950	1024	545093	545019	ec_ill_ec_contig65	contig_104	94.67		False
779	853	545094	545020	lf_ill_lf_contig57	contig_104	98.67		False
1397	1503	545259	545153	pa_ill_pa_contig44	contig_104	96.26		False
786	906	545259	545139	ec_ill_ec_contig65	contig_104	93.39		False
3937	4076	545139	545278	se_ill_se_contig42	contig_104	91.43		False
500	762	545375	545113	lf_ill_lf_contig57	contig_104	91.25		False
4115	4186	545318	545389	se_ill_se_contig42	contig_104	94.44		False
656	727	545390	545319	ec_ill_ec_contig65	contig_104	94.44		False
1	982	545860	544878	bs_ill_bs_contig933	contig_104	92.93		False
2	91	545807	545896	bs_ill_bs_contig3	contig_104	93.33		False
496	1806	545899	544591	ef_ill_ef_contig19	contig_104	91.66		False
174	1724	546135	544591	lm_ill_lm_contig16	contig_104	90.11		False
261	334	546063	546136	bs_ill_bs_contig3	contig_104	93.24		False
18228	18355	654349	654224	bs_ill_bs_contig20	contig_104	94.53		False
10552	10623	654284	654355	sa_ill_sa_contig9	contig_104	100.0		False
249	397	654431	654283	sa_ill_sa_contig34	contig_104	100.0		False
169546	169626	654356	654436	sa_ill_sa_contig3	contig_104	100.0		False
343	460	654441	654558	sa_ill_sa_contig23	contig_104	100.0		False
304	384	654731	654811	lm_ill_lm_contig12	contig_104	92.59		False
8	169	654892	654731	bs_ill_bs_contig13	contig_104	95.06		False
396	700	654823	655127	lm_ill_lm_contig12	contig_104	97.7		False
325	721	654731	655127	ef_ill_ef_contig17	contig_104	94.96		False
322	545	654905	655128	se_ill_se_contig42	contig_104	90.62		False
4288	4511	655128	654905	ec_ill_ec_contig65	contig_104	90.62		False
4903	5134	655137	654905	pa_ill_pa_contig44	contig_104	90.56		False
223	726	654823	655327	lf_ill_lf_contig82	contig_104	95.84		False
722	923	655129	655330	ef_ill_ef_contig17	contig_104	94.06		False
960	1053	655544	655637	se_ill_se_contig42	contig_104	96.81		False
3780	3873	655637	655544	ec_ill_ec_contig65	contig_104	96.81		False
4403	4500	655637	655540	pa_ill_pa_contig44	contig_104	96.94		False
1019	1366	655426	655773	ef_ill_ef_contig17	contig_104	95.11		False
965	1346	655393	655774	lm_ill_lm_contig12	contig_104	94.76		False
3436	3788	655780	655428	lf_ill_lf_contig57	contig_104	92.07		False
1367	1447	655794	655874	lm_ill_lm_contig12	contig_104	97.53		False
1	1068	654845	655912	bs_ill_bs_contig839	contig_104	93.83		False
1677	1863	656106	656292	lm_ill_lm_contig12	contig_104	90.91		False
2688	2883	656535	656340	lf_ill_lf_contig57	contig_104	93.37		False
1921	2135	656337	656551	ef_ill_ef_contig17	contig_104	95.35		False
1910	2127	656334	656551	lm_ill_lm_contig12	contig_104	91.74		False
105	553	656103	656551	bs_ill_bs_contig991	contig_104	91.31		False
2165	2233	656581	656649	ef_ill_ef_contig17	contig_104	95.65		False
2567	2643	656656	656580	lf_ill_lf_contig57	contig_104	90.91		False
2249	2365	656664	656780	ef_ill_ef_contig17	contig_104	92.31		False
2427	2714	656850	657137	lm_ill_lm_contig12	contig_104	93.4		False
493	720	657140	656913	bs_ill_bs_contig1146	contig_104	95.18		False
1863	1977	657357	657243	lf_ill_lf_contig57	contig_104	91.3		False
386	514	657241	657369	ef_ill_ef_contig25	contig_104	93.8		False
2799	2950	657220	657371	lm_ill_lm_contig12	contig_104	92.11		False
563	681	657419	657537	ef_ill_ef_contig25	contig_104	94.12		False
98002	98191	789870	790059	sa_ill_sa_contig11	contig_104	97.89		False
45846	46038	789867	790059	sa_ill_sa_contig14	contig_104	98.45		False
106941	107135	789867	790061	sa_ill_sa_contig3	contig_104	98.46		False
98340	98600	790081	790341	sa_ill_sa_contig11	contig_104	95.02		False
46187	46447	790081	790341	sa_ill_sa_contig14	contig_104	94.64		False
46187	46447	790081	790341	sa_ill_sa_contig14	contig_104	94.64		False
70243	70357	790417	790303	sa_ill_sa_contig12	contig_104	98.26		False
78636	78790	939829	939675	sa_ill_sa_contig8	contig_104	98.71		False
46303	46464	939829	939668	sa_ill_sa_contig4	contig_104	98.15		False
206209	206371	939829	939667	sa_ill_sa_contig2	contig_104	98.77		False
34638	34810	939669	939841	sa_ill_sa_contig6	contig_104	99.42		False
207021	207093	939845	939773	sa_ill_sa_contig3	contig_104	95.89		False
31786	31950	939845	939681	sa_ill_sa_contig10	contig_104	96.36		False
126	348	939903	939682	sa_ill_sa_contig31	contig_104	91.67		False
41686	41771	939916	939831	sa_ill_sa_contig19	contig_104	94.19		False
29935	30062	970723	970850	sa_ill_sa_contig27	contig_104	94.53		False
13419	13639	971640	971420	sa_ill_sa_contig35	contig_104	91.44		False
30669	30897	971420	971648	sa_ill_sa_contig27	contig_104	91.7		False
29935	30062	971594	971723	sa_ill_sa_contig27	contig_104	93.85		False
1	162	971594	971757	sa_ill_sa_contig53	contig_104	93.29		False
13097	13239	971826	971684	sa_ill_sa_contig35	contig_104	97.9		False
3584	3906	988341	988019	sa_ill_sa_contig35	contig_104	95.05		False
3411	3583	988598	988426	sa_ill_sa_contig35	contig_104	95.38		False
3124	3352	988831	988603	sa_ill_sa_contig35	contig_104	93.01		False
