S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337894	bs_ill_bs_contig2	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338878	338745	bs_ill_bs_contig20	contig_18	100.0		True
translocation
56	319	339544	339280	bs_ill_bs_contig13	contig_18	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339545	340696	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340698	341608	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342331	341610	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343684	342703	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343685	343969	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	257004	601123	344070	bs_ill_bs_contig8	contig_18	99.98		True
translocation
1	599	601722	601124	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602281	601724	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	29697	631975	602282	bs_ill_bs_contig18	contig_18	99.96		True
translocation
56	393	632313	631976	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632314	633465	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633467	634377	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635100	634379	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636398	635472	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636399	961872	bs_ill_bs_contig3	contig_18	99.94		True
translocation
1	599	962471	961873	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963031	962473	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	104023	963032	1067055	bs_ill_bs_contig12	contig_18	100.0		True
