S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
8	122033	121919	1	se_ill_se_contig13	contig_3	99.56		True
indel: indel (> 5bp) [fragmentation of reference genome]
35	1231	123130	121936	se_ill_se_contig56	contig_3	94.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37080	160183	123131	se_ill_se_contig31	contig_3	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	161314	160184	se_ill_se_contig56	contig_3	94.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130129	161315	291392	se_ill_se_contig16	contig_3	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	294490	291393	se_ill_se_contig48	contig_3	96.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	224077	518548	294491	se_ill_se_contig6	contig_3	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
3352	5023	520199	518549	se_ill_se_contig42	contig_3	91.95		True
translocation
1	660	521193	520546	se_ill_se_contig60	contig_3	93.53		True
translocation
1	2387	523691	521310	se_ill_se_contig42	contig_3	96.47		True
fake: not a misassembly [fragmentation of reference genome]
1	120824	523847	644583	se_ill_se_contig17	contig_3	99.82		True
local misassembly [fragmentation of reference genome]
1	245810	890668	644976	se_ill_se_contig3	contig_3	99.73		True
fake: not a misassembly [fragmentation of reference genome]
11	4520	895932	891428	se_ill_se_contig44	contig_3	99.47		True
local misassembly [fragmentation of reference genome]
1	460	896706	897162	se_ill_se_contig3	contig_3	96.23		True
translocation
13	179991	897163	1077021	se_ill_se_contig9	contig_3	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	10344	1077496	1087840	se_ill_se_contig39	contig_3	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1087841	1090944	se_ill_se_contig48	contig_3	96.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
12	188840	1279670	1090945	se_ill_se_contig8	contig_3	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	1196	1279671	1280818	se_ill_se_contig56	contig_3	93.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32014	1280819	1312815	se_ill_se_contig34	contig_3	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
43	5265	1312816	1317997	se_ill_se_contig41	contig_3	93.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	5662	1318025	1323635	se_ill_se_contig40	contig_3	99.59		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	491	1323636	1324070	se_ill_se_contig64	contig_3	94.06		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	601	1324607	1324071	se_ill_se_contig62	contig_3	95.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1514	1326048	1324608	se_ill_se_contig55	contig_3	94.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
8	2420	1328472	1326049	se_ill_se_contig50	contig_3	99.14		True
indel: indel (> 5bp) [fragmentation of reference genome]
48	1739	1330147	1328473	se_ill_se_contig54	contig_3	91.81		True
