All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
# contigs (>= 5000 bp)       7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 10000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 25000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 50000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Total length (>= 5000 bp)    24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
Total length (>= 10000 bp)   24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
Total length (>= 25000 bp)   24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
Total length (>= 50000 bp)   24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
# contigs                    7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Largest contig               4765873           4765292                 4765363                  4765370                  4764541                 4764622                 4763407            4765365           4765330                 4765353                  4765356                  4764481                 4764622                 4763482            4765372           4765362                 4765559                  4765361                  4764967                 4764598                 4763422          
Total length                 24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
Reference length             1805517           1805517                 1805517                  1805517                  1805517                 1805517                 1805517            1805517           1805517                 1805517                  1805517                  1805517                 1805517                 1805517            1805517           1805517                 1805517                  1805517                  1805517                 1805517                 1805517          
GC (%)                       44.80             44.80                   44.80                    44.80                    44.78                   44.78                   44.77              44.80             44.80                   44.80                    44.80                    44.78                   44.78                   44.77              44.80             44.81                   44.80                    44.80                    44.79                   44.79                   44.77            
Reference GC (%)             52.72             52.72                   52.72                    52.72                    52.72                   52.72                   52.72              52.72             52.72                   52.72                    52.72                    52.72                   52.72                   52.72              52.72             52.72                   52.72                    52.72                    52.72                   52.72                   52.72            
N50                          4045598           4045624                 4045593                  4045588                  4045161                 4045292                 4043043            4045604           4045480                 4045604                  4045608                  4045229                 4045315                 4042940            4045596           4045614                 4045597                  4045593                  4045228                 4045344                 4043027          
NG50                         4765873           4765292                 4765363                  4765370                  4764541                 4764622                 4763407            4765365           4765330                 4765353                  4765356                  4764481                 4764622                 4763482            4765372           4765362                 4765559                  4765361                  4764967                 4764598                 4763422          
N75                          2845425           2845362                 2845428                  2845425                  2845303                 2845317                 2843846            2845427           2845365                 2845431                  2845433                  2845282                 2845346                 2843855            2845434           2845416                 2845426                  2845429                  2845240                 2845336                 2843848          
NG75                         4765873           4765292                 4765363                  4765370                  4764541                 4764622                 4763407            4765365           4765330                 4765353                  4765356                  4764481                 4764622                 4763482            4765372           4765362                 4765559                  4765361                  4764967                 4764598                 4763422          
L50                          3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                
