Assembly	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 10000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 25000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
# contigs (>= 50000 bp)	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Total length (>= 5000 bp)	24074864	24069434	24071998	24064261	24059992	24055964	30847730	24074405	24069671	24071816	24060875	24059808	24052467	30848669	24075545	24072103	24075113	24069593	24065155	24060597	30851275
Total length (>= 10000 bp)	24074864	24069434	24071998	24064261	24059992	24055964	30847730	24074405	24069671	24071816	24060875	24059808	24052467	30848669	24075545	24072103	24075113	24069593	24065155	24060597	30851275
Total length (>= 25000 bp)	24074864	24069434	24071998	24064261	24059992	24055964	30847730	24074405	24069671	24071816	24060875	24059808	24052467	30848669	24075545	24072103	24075113	24069593	24065155	24060597	30851275
Total length (>= 50000 bp)	24074864	24069434	24071998	24064261	24059992	24055964	30847730	24074405	24069671	24071816	24060875	24059808	24052467	30848669	24075545	24072103	24075113	24069593	24065155	24060597	30851275
# contigs	7	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	7	8
Largest contig	4765873	4765292	4765363	4765370	4764541	4764622	6787707	4765365	4765330	4765353	4765356	4764481	4764622	6787702	4765372	4765362	4765559	4765361	4764967	4764598	6788581
