Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
MP_helen_r10_bins_1	7	7	7	7	24069494	24069494	24069494	24069494	7	4765299	24069494	2689205	44.80	32.69	4045615	4765299	2845363	4765299	3	1	5	1	14	1	2717987	10	0	0	6	0 + 7 part	21271543	99.546	1.045	0.00	255.96	42.92	948383	2795977	480278	311294	2	4
MP_helen_r10_bins_2	7	7	7	7	24072731	24072731	24072731	24072731	7	4765370	24072731	2689205	44.81	32.69	4045634	4765370	2845435	4765370	3	1	5	1	13	1	2718054	10	0	0	6	0 + 7 part	21274547	99.540	1.045	0.00	253.36	34.89	948350	2796688	480325	381296	2	4
MP_helen_r10_bins_3	7	7	7	7	24070272	24070272	24070272	24070272	7	4765301	24070272	2689205	44.80	32.69	4045636	4765301	2845364	4765301	3	1	5	1	14	1	2718086	9	0	0	6	0 + 7 part	21271970	99.544	1.045	0.00	254.84	35.41	948302	2796803	480289	381319	2	4
MP_r10_bins_1	7	7	7	7	24075146	24075146	24075146	24075146	7	4765922	24075146	2689205	44.80	32.69	4045594	4765922	2845421	4765922	3	1	5	1	14	1	2719777	9	0	0	6	0 + 7 part	21275539	99.546	1.046	0.00	286.37	111.47	948920	2797630	480583	311493	2	4
MP_r10_bins_2	7	7	7	7	24075931	24075931	24075931	24075931	7	4765391	24075931	2689205	44.80	32.69	4045608	4765391	2845426	4765391	3	1	5	1	13	1	2719835	10	0	0	6	0 + 7 part	21275911	99.540	1.046	0.00	286.83	111.92	949001	2798522	480643	381520	2	4
MP_r10_bins_3	7	7	7	7	24075224	24075224	24075224	24075224	7	4765920	24075224	2689205	44.80	32.69	4045601	4765920	2845426	4765920	3	1	5	1	14	1	2719835	9	0	0	6	0 + 7 part	21275190	99.544	1.046	0.00	287.60	112.52	948950	2798536	480605	381538	2	4
r1_medaka_r10_bins_1	7	7	7	7	24072592	24072592	24072592	24072592	7	4765362	24072592	2689205	44.80	32.69	4045589	4765362	2845430	4765362	3	1	5	1	14	1	2719552	9	0	0	6	0 + 7 part	21273039	99.546	1.046	0.00	289.02	75.38	948840	2797577	480506	311448	2	4
r1_medaka_r10_bins_2	7	7	7	7	24074864	24074864	24074864	24074864	7	4765395	24074864	2689205	44.80	32.69	4045607	4765395	2845432	4765395	3	1	5	1	13	1	2719502	11	0	0	6	0 + 7 part	21275906	99.540	1.046	0.00	284.52	76.47	948851	2797460	480559	381469	2	4
r1_medaka_r10_bins_3	7	7	7	7	24072788	24072788	24072788	24072788	7	4765360	24072788	2689205	44.80	32.69	4045601	4765360	2845434	4765360	3	1	5	1	14	1	2719543	9	0	0	6	0 + 7 part	21273107	99.544	1.046	0.00	289.29	78.07	948875	2798182	480534	381500	2	4
r2_medaka_r10_bins_1	7	7	7	7	24064948	24064948	24064948	24064948	7	4765364	24064948	2689205	44.80	32.69	4045589	4765364	2845429	4765364	3	1	5	1	14	1	2719584	9	0	0	6	0 + 7 part	21266527	99.546	1.045	0.00	283.83	75.91	948861	2796455	480505	311454	2	4
r2_medaka_r10_bins_2	7	7	7	7	24068153	24068153	24068153	24068153	7	4765350	24068153	2689205	44.80	32.69	4045605	4765350	2845433	4765350	3	1	5	1	13	1	2719579	10	0	0	6	0 + 7 part	21269791	99.540	1.045	0.00	282.61	76.17	948885	2796863	480551	381491	2	4
r2_medaka_r10_bins_3	7	7	7	7	24065807	24065807	24065807	24065807	7	4765359	24065807	2689205	44.80	32.69	4045604	4765359	2845432	4765359	3	1	5	1	14	1	2719559	9	0	0	6	0 + 7 part	21266383	99.544	1.046	0.00	288.91	78.41	948890	2797925	480528	381496	2	4
racon_r1_r10_bins_1	7	7	7	7	24059729	24059729	24059729	24059729	7	4764643	24059729	2689205	44.79	32.69	4045233	4764643	2845290	4764643	3	1	5	1	14	1	2720311	9	0	0	6	0 + 7 part	21261081	99.546	1.045	0.00	294.66	110.95	949098	2796671	480641	311553	2	4
