All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_1bin_v4_1_MP  r10_1bin_v4_1_MP_helen  r10_1bin_v4_1_r1_medaka  r10_1bin_v4_1_r2_medaka  r10_1bin_v4_1_racon_r1  r10_1bin_v4_1_racon_r2  r10_1bin_v4_1_raw  r10_1bin_v4_2_MP  r10_1bin_v4_2_MP_helen  r10_1bin_v4_2_r1_medaka  r10_1bin_v4_2_r2_medaka  r10_1bin_v4_2_racon_r1  r10_1bin_v4_2_racon_r2  r10_1bin_v4_2_raw  r10_1bin_v4_3_MP  r10_1bin_v4_3_MP_helen  r10_1bin_v4_3_r1_medaka  r10_1bin_v4_3_r2_medaka  r10_1bin_v4_3_racon_r1  r10_1bin_v4_3_racon_r2  r10_1bin_v4_3_raw
# contigs (>= 5000 bp)       7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 10000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 25000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
# contigs (>= 50000 bp)      7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Total length (>= 5000 bp)    24074239          24070847                24075790                 24065267                 24060416                24054361                24061513           24074830          24070579                24075879                 24065198                 24060552                24053082                24061431           24074372          24070528                24075072                 24062757                 24061106                24053558                24060936         
Total length (>= 10000 bp)   24074239          24070847                24075790                 24065267                 24060416                24054361                24061513           24074830          24070579                24075879                 24065198                 24060552                24053082                24061431           24074372          24070528                24075072                 24062757                 24061106                24053558                24060936         
Total length (>= 25000 bp)   24074239          24070847                24075790                 24065267                 24060416                24054361                24061513           24074830          24070579                24075879                 24065198                 24060552                24053082                24061431           24074372          24070528                24075072                 24062757                 24061106                24053558                24060936         
Total length (>= 50000 bp)   24074239          24070847                24075790                 24065267                 24060416                24054361                24061513           24074830          24070579                24075879                 24065198                 24060552                24053082                24061431           24074372          24070528                24075072                 24062757                 24061106                24053558                24060936         
# contigs                    7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                  7                 7                       7                        7                        7                       7                       7                
Largest contig               4765380           4765358                 4765659                  4765647                  4764472                 4764668                 4763504            4765857           4765290                 4765665                  4765638                  4764540                 4764597                 4763606            4765360           4765338                 4765695                  4765649                  4764493                 4764872                 4763509          
Total length                 24074239          24070847                24075790                 24065267                 24060416                24054361                24061513           24074830          24070579                24075879                 24065198                 24060552                24053082                24061431           24074372          24070528                24075072                 24062757                 24061106                24053558                24060936         
Reference length             2820294           2820294                 2820294                  2820294                  2820294                 2820294                 2820294            2820294           2820294                 2820294                  2820294                  2820294                 2820294                 2820294            2820294           2820294                 2820294                  2820294                  2820294                 2820294                 2820294          
GC (%)                       44.80             44.80                   44.80                    44.79                    44.79                   44.78                   44.77              44.80             44.80                   44.80                    44.79                    44.79                   44.78                   44.77              44.80             44.80                   44.80                    44.79                    44.78                   44.78                   44.77            
Reference GC (%)             37.44             37.44                   37.44                    37.44                    37.44                   37.44                   37.44              37.44             37.44                   37.44                    37.44                    37.44                   37.44                   37.44              37.44             37.44                   37.44                    37.44                    37.44                   37.44                   37.44            
N50                          4045594           4045614                 4045830                  4045830                  4045233                 4045289                 4042947            4045599           4045618                 4045837                  4045836                  4045198                 4045283                 4042978            4045594           4045616                 4045840                  4045837                  4045212                 4045325                 4042951          
NG50                         4765380           4765358                 4765659                  4765647                  4764472                 4764668                 4763504            4765857           4765290                 4765665                  4765638                  4764540                 4764597                 4763606            4765360           4765338                 4765695                  4765649                  4764493                 4764872                 4763509          
N75                          2845424           2845373                 2845569                  2845565                  2845263                 2845303                 2843857            2845424           2845368                 2845573                  2845566                  2845303                 2845324                 2843857            2845425           2845368                 2845568                  2845560                  2845287                 2845313                 2843857          
NG75                         4765380           4765358                 4765659                  4765647                  4764472                 4764668                 4763504            4765857           4765290                 4765665                  4765638                  4764540                 4764597                 4763606            4765360           4765338                 4765695                  4765649                  4764493                 4764872                 4763509          
L50                          3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                  3                 3                       3                        3                        3                       3                       3                
