All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75   LGA50  LGA75
r10_1bin_1_MP         7                       7                        7                        7                        24074494                   24074494                    24074494                    24074494                    7          4765367         24074494      4787036           44.80   50.45             4045598  4765367  2845422  4765367  3    1     5    1     21               1                       4765367                      36                     0                         0                         6                         0 + 7 part           19039379          97.703               1.077              0.00               442.70                    20.31                 1408812            5029788               1103278  393562  2      5    
r10_1bin_1_MP_helen   7                       7                        7                        7                        24070200                   24070200                    24070200                    24070200                    7          4765335         24070200      4787036           44.80   50.45             4045621  4765335  2845369  4765335  3    1     5    1     21               1                       4765335                      36                     0                         0                         6                         0 + 7 part           19035026          97.703               1.077              0.00               439.45                    18.11                 1408784            5029835               1103268  393563  2      5    
r10_1bin_1_r1_medaka  7                       7                        7                        7                        24072211                   24072211                    24072211                    24072211                    7          4765354         24072211      4787036           44.80   50.45             4045594  4765354  2845428  4765354  3    1     5    1     21               1                       4765354                      37                     0                         0                         6                         0 + 7 part           19035485          97.701               1.077              0.00               443.16                    15.23                 1408811            5033790               1105649  393563  2      5    
r10_1bin_1_r2_medaka  7                       7                        7                        7                        24064284                   24064284                    24064284                    24064284                    7          4765366         24064284      4787036           44.80   50.45             4045589  4765366  2845432  4765366  3    1     5    1     21               1                       4765366                      37                     0                         0                         6                         0 + 7 part           19028017          97.701               1.077              0.00               442.28                    14.78                 1408819            5033291               1105646  393565  2      5    
r10_1bin_1_racon_r1   7                       7                        7                        7                        24060998                   24060998                    24060998                    24060998                    7          4764519         24060998      4787036           44.79   50.45             4045227  4764519  2845260  4764519  3    1     5    1     21               1                       4764519                      36                     0                         0                         6                         0 + 7 part           19024918          97.703               1.077              0.00               445.54                    39.71                 1408601            5030902               1103075  393542  2      5    
r10_1bin_1_racon_r2   7                       7                        7                        7                        24055678                   24055678                    24055678                    24055678                    7          4764885         24055678      4787036           44.78   50.45             4045309  4764885  2845328  4764885  3    1     5    1     21               1                       4764885                      38                     0                         0                         6                         0 + 7 part           19015446          97.701               1.078              0.00               455.37                    36.89                 1408646            5037405               1105456  393556  2      5    
r10_1bin_1_raw        7                       7                        7                        7                        28130662                   28130662                    28130662                    28130662                    7          6788581         28130662      4787036           51.10   50.45             4756088  6788581  2990628  6788581  3    1     5    1     19               1                       4763493                      60                     0                         0                         6                         0 + 7 part           23183477          97.665               1.058              0.00               484.61                    236.83                1102546            4942385               586349   376968  3      6    
r10_1bin_2_MP         7                       7                        7                        7                        24074257                   24074257                    24074257                    24074257                    7          4765367         24074257      4787036           44.80   50.45             4045598  4765367  2845425  4765367  3    1     5    1     21               1                       4765367                      36                     0                         0                         6                         0 + 7 part           19038854          97.703               1.077              0.00               443.08                    20.31                 1408813            5030076               1103277  393562  2      5    
r10_1bin_2_MP_helen   7                       7                        7                        7                        24070195                   24070195                    24070195                    24070195                    7          4765342         24070195      4787036           44.80   50.45             4045629  4765342  2845372  4765342  3    1     5    1     21               1                       4765342                      36                     0                         0                         6                         0 + 7 part           19034932          97.703               1.077              0.04               439.64                    17.94                 1408790            5029914               1103269  393563  2      5    
r10_1bin_2_r1_medaka  7                       7                        7                        7                        24072707                   24072707                    24072707                    24072707                    7          4765360         24072707      4787036           44.80   50.45             4045591  4765360  2845428  4765360  3    1     5    1     21               1                       4765360                      36                     0                         0                         6                         0 + 7 part           19036605          97.703               1.077              0.00               442.31                    15.20                 1408816            5030776               1103273  393564  2      5    
r10_1bin_2_r2_medaka  7                       7                        7                        7                        24061315                   24061315                    24061315                    24061315                    7          4765365         24061315      4787036           44.79   50.45             4045590  4765365  2845431  4765365  3    1     5    1     21               1                       4765365                      37                     0                         0                         6                         0 + 7 part           19025705          97.701               1.077              0.00               441.27                    15.05                 1408822            5032646               1105643  393563  2      5    
r10_1bin_2_racon_r1   7                       7                        7                        7                        24060258                   24060258                    24060258                    24060258                    7          4764481         24060258      4787036           44.79   50.45             4045220  4764481  2845275  4764481  3    1     5    1     21               1                       4764481                      36                     0                         0                         6                         0 + 7 part           19027461          97.703               1.076              0.00               440.28                    40.78                 1408626            5027574               1103085  393535  2      5    
r10_1bin_2_racon_r2   7                       7                        7                        7                        24055824                   24055824                    24055824                    24055824                    7          4764611         24055824      4787036           44.78   50.45             4045285  4764611  2845354  4764611  3    1     5    1     21               1                       4764611                      36                     0                         0                         6                         0 + 7 part           19016574          97.703               1.078              0.00               453.82                    36.76                 1408649            5034052               1103096  393551  2      5    
r10_1bin_2_raw        8                       8                        8                        8                        30848967                   30848967                    30848967                    30848967                    8          6787718         30848967      4787036           49.48   50.45             4756101  6787718  2990633  6787718  3    1     5    1     18               1                       4763481                      57                     0                         0                         7                         0 + 8 part           25899660          97.663               1.059              0.00               481.34                    236.19                1311433            4946879               1104907  397472  2      5    
r10_1bin_3_MP         7                       7                        7                        7                        24075009                   24075009                    24075009                    24075009                    7          4765870         24075009      4787036           44.80   50.45             4045598  4765870  2845425  4765870  3    1     5    1     21               1                       4765870                      37                     0                         0                         6                         0 + 7 part           19041077          97.703               1.076              0.00               440.05                    20.63                 1408800            5028526               1103280  393562  2      5    
r10_1bin_3_MP_helen   7                       7                        7                        7                        24068751                   24068751                    24068751                    24068751                    7          4765291         24068751      4787036           44.80   50.45             4045626  4765291  2845364  4765291  3    1     5    1     21               1                       4765291                      36                     0                         0                         6                         0 + 7 part           19035277          97.703               1.076              0.00               435.92                    18.54                 1408735            5028135               1103275  393564  2      5    
r10_1bin_3_r1_medaka  7                       7                        7                        7                        24072195                   24072195                    24072195                    24072195                    7          4765346         24072195      4787036           44.80   50.45             4045592  4765346  2845429  4765346  3    1     5    1     21               1                       4765346                      37                     0                         0                         6                         0 + 7 part           19036197          97.701               1.077              0.00               442.49                    15.20                 1408813            5033033               1105646  393564  2      5    
r10_1bin_3_r2_medaka  7                       7                        7                        7                        24065063                   24065063                    24065063                    24065063                    7          4765353         24065063      4787036           44.80   50.45             4045592  4765353  2845427  4765353  3    1     5    1     21               1                       4765353                      37                     0                         0                         6                         0 + 7 part           19029497          97.701               1.077              0.00               441.12                    14.86                 1408818            5032602               1105646  393565  2      5    
r10_1bin_3_racon_r1   7                       7                        7                        7                        24060094                   24060094                    24060094                    24060094                    7          4764528         24060094      4787036           44.78   50.45             4045212  4764528  2845297  4764528  3    1     5    1     21               1                       4764528                      36                     0                         0                         6                         0 + 7 part           19023217          97.703               1.077              0.00               448.56                    40.54                 1408608            5031647               1103087  393545  2      5    
r10_1bin_3_racon_r2   7                       7                        7                        7                        24056380                   24056380                    24056380                    24056380                    7          4764900         24056380      4787036           44.78   50.45             4045306  4764900  2845324  4764900  3    1     5    1     21               1                       4764900                      37                     0                         0                         6                         0 + 7 part           19018182          97.703               1.077              0.00               450.78                    36.91                 1408654            5032999               1103077  393556  2      5    
r10_1bin_3_raw        7                       7                        7                        7                        28130442                   28130442                    28130442                    28130442                    7          6787718         28130442      4787036           51.10   50.45             4756002  6787718  2990669  6787718  3    1     5    1     19               1                       4763766                      61                     0                         0                         6                         0 + 7 part           23181201          97.664               1.059              0.00               491.63                    241.45                1102626            4944437               586350   376968  3      6    
