S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200245	1	ec_ill_ec_contig2	contig_36	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200246	200731	ec_ill_ec_contig98	contig_36	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216083	200732	ec_ill_ec_contig54	contig_36	99.9		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216636	216151	ec_ill_ec_contig104	contig_36	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	313997	216732	ec_ill_ec_contig19	contig_36	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	313998	316522	ec_ill_ec_contig71	contig_36	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316738	317313	ec_ill_ec_contig95	contig_36	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317314	325001	ec_ill_ec_contig61	contig_36	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325456	325002	ec_ill_ec_contig101	contig_36	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352797	325457	ec_ill_ec_contig46	contig_36	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352798	353370	ec_ill_ec_contig96	contig_36	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353713	353371	ec_ill_ec_contig85	contig_36	93.45		True
translocation
1	1970	355683	353714	ec_ill_ec_contig74	contig_36	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356657	355684	ec_ill_ec_contig82	contig_36	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356658	371028	ec_ill_ec_contig55	contig_36	99.94		True
translocation
1	384	371412	371029	ec_ill_ec_contig50	contig_36	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	371926	371532	ec_ill_ec_contig9	contig_36	97.18		True
translocation
1	18741	371927	390665	ec_ill_ec_contig51	contig_36	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391217	390733	ec_ill_ec_contig104	contig_36	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391313	422992	ec_ill_ec_contig42	contig_36	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435858	422993	ec_ill_ec_contig57	contig_36	99.95		True
local misassembly [fragmentation of reference genome]
22	507	435954	436439	ec_ill_ec_contig104	contig_36	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535264	436507	ec_ill_ec_contig18	contig_36	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536495	535265	ec_ill_ec_contig79	contig_36	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707759	536496	ec_ill_ec_contig3	contig_36	99.96		True
local misassembly
1	57666	765414	707760	ec_ill_ec_contig3	contig_36	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765415	765987	ec_ill_ec_contig96	contig_36	99.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766349	765988	ec_ill_ec_contig85	contig_36	94.88		True
translocation
56	550	766844	766350	ec_ill_ec_contig102	contig_36	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767436	766845	ec_ill_ec_contig93	contig_36	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767437	768275	ec_ill_ec_contig88	contig_36	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769357	768276	ec_ill_ec_contig82	contig_36	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769358	770222	ec_ill_ec_contig87	contig_36	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770223	770747	ec_ill_ec_contig100	contig_36	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771696	771194	ec_ill_ec_contig50	contig_36	94.0		True
translocation
1	13785	771697	785479	ec_ill_ec_contig56	contig_36	99.95		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786032	785547	ec_ill_ec_contig104	contig_36	91.77		True
local misassembly [fragmentation of reference genome]
1	292	786894	787185	ec_ill_ec_contig13	contig_36	97.96		True
translocation
