Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# misassemblies	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	30	31	31
  # contig misassemblies	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	30	31	31
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	33	34	33	30	31	31
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4045616	4045633	4045623	4045594	4045600	4045599	4045600	4045603	4045599	4045597	4045604	4045600	4045299	4045286	4045284	4045354	4045343	4045342	4043031	4042943	4042477
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	11	9
# local misassemblies	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	16	17	17
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	49	49	49	49	49	49	49	49	49	49	49	49	48	49	48	49	49	49	31	32	33
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5
# mismatches	3807	3830	3825	3897	3908	3903	3834	3828	3878	3861	3889	3866	3912	3978	3992	3915	3968	3905	3398	3396	3447
# indels	447	450	442	443	446	447	426	416	427	425	422	419	881	857	834	794	778	795	4152	4125	4124
    # indels (<= 5 bp)	398	400	392	394	395	396	377	368	378	376	373	370	830	808	786	745	730	745	4092	4069	4066
    # indels (> 5 bp)	49	50	50	49	51	51	49	48	49	49	49	49	51	49	48	49	48	50	60	56	58
Indels length	2595	2605	2594	2584	2604	2602	2562	2538	2571	2560	2559	2554	3169	3107	3091	3022	2999	3017	7250	7151	7172
