S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	88	88	1	pa_ill_pa_contig23	contig_167	100.0		False
847596	847683	1	88	pa_ill_pa_contig1	contig_167	100.0		False
25910	26592	525510	524825	pa_ill_pa_contig14	contig_167	90.39		False
710	1065	618309	618664	pa_ill_pa_contig59	contig_167	92.98		False
3591	3857	619003	618737	pa_ill_pa_contig46	contig_167	91.76		False
1136	1458	618735	619057	pa_ill_pa_contig59	contig_167	96.28		False
1578	1661	619177	619260	pa_ill_pa_contig59	contig_167	90.48		False
46745	46820	1192621	1192546	pa_ill_pa_contig33	contig_167	98.68		False
2771	3517	1698173	1697427	pa_ill_pa_contig6	contig_167	94.78		False
55609	56418	1697411	1698220	pa_ill_pa_contig20	contig_167	92.87		False
52883	53273	1698223	1697833	pa_ill_pa_contig33	contig_167	91.86		False
264617	265097	2703093	2702613	pa_ill_pa_contig7	contig_167	92.36		False
264591	265097	2707002	2706496	pa_ill_pa_contig7	contig_167	93.14		False
3381	3503	2708257	2708379	pa_ill_pa_contig49	contig_167	91.87		False
292	749	3161768	3162222	pa_ill_pa_contig31	contig_167	90.63		False
104	348	3162063	3162307	pa_ill_pa_contig31	contig_167	91.02		False
266	591	3161982	3162307	pa_ill_pa_contig31	contig_167	91.41		False
141	261	3162340	3162460	pa_ill_pa_contig31	contig_167	93.39		False
509	749	3162465	3162705	pa_ill_pa_contig31	contig_167	93.78		False
104	348	3162546	3162790	pa_ill_pa_contig31	contig_167	91.43		False
266	591	3162465	3162790	pa_ill_pa_contig31	contig_167	91.72		False
1105	1184	3162818	3162897	pa_ill_pa_contig31	contig_167	90.0		False
1	124	3163156	3163033	pa_ill_pa_contig14	contig_167	90.32		False
419	580	3163341	3163502	pa_ill_pa_contig31	contig_167	91.36		False
176	337	3163341	3163502	pa_ill_pa_contig31	contig_167	91.36		False
1105	1184	3163541	3163620	pa_ill_pa_contig31	contig_167	92.5		False
144	420	3163739	3163463	pa_ill_pa_contig14	contig_167	90.25		False
6	131	3163877	3163752	pa_ill_pa_contig14	contig_167	93.65		False
590	763	3163752	3163925	pa_ill_pa_contig31	contig_167	93.1		False
12	334	3164114	3163792	pa_ill_pa_contig14	contig_167	94.43		False
216	367	3164153	3164002	pa_ill_pa_contig14	contig_167	90.13		False
136	749	3163541	3164154	pa_ill_pa_contig31	contig_167	90.6		False
117	348	3164008	3164239	pa_ill_pa_contig31	contig_167	90.52		False
1099	1184	3164261	3164346	pa_ill_pa_contig31	contig_167	91.86		False
1	124	3164365	3164242	pa_ill_pa_contig14	contig_167	92.74		False
354	504	3164242	3164392	pa_ill_pa_contig31	contig_167	90.73		False
1	420	3164608	3164189	pa_ill_pa_contig14	contig_167	90.71		False
26159	26292	4098349	4098216	pa_ill_pa_contig14	contig_167	93.28		False
25874	26153	4098634	4098355	pa_ill_pa_contig14	contig_167	92.5		False
6462	6590	4312656	4312528	pa_ill_pa_contig42	contig_167	97.67		False
1	77	4559112	4559188	pa_ill_pa_contig22	contig_167	98.7		False
46729	47071	4559454	4559112	pa_ill_pa_contig35	contig_167	97.67		False
55696	56158	5190248	5189786	pa_ill_pa_contig20	contig_167	95.25		False
2820	3940	5189622	5190742	pa_ill_pa_contig6	contig_167	90.51		False
1	2531	5721369	5718821	pa_ill_pa_contig53	contig_167	93.34		False
401	477	6326568	6326492	pa_ill_pa_contig9	contig_167	100.0		False
99	178	6326741	6326662	pa_ill_pa_contig32	contig_167	98.75		False
401	476	6326859	6326784	pa_ill_pa_contig9	contig_167	100.0		False
1	3774	6452087	6448308	pa_ill_pa_contig47	contig_167	90.15		False
1	2549	6453658	6456188	pa_ill_pa_contig52	contig_167	93.19		False
1	1142	34	1175	pa_ill_pa_contig67	contig_167	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
