Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_v3_1_MP	8	8	8	8	30867105	30867105	30867105	30867105	8	6792277	30867105	6728151	49.50	66.21	4758942	6792277	2992085	6792277	3	1	5	1	8	1	6792277	11	0	0	7	0 + 8 part	24046975	99.894	1.015	0.00	59.40	5.71	1547073	6816775	1274873	1070200	3	4
r10_1bin_v3_1_MP_helen	8	8	8	8	30862332	30862332	30862332	30862332	8	6792242	30862332	6728151	49.51	66.21	4758045	6792242	2992067	6792242	3	1	5	1	6	1	6792242	11	0	0	7	0 + 8 part	24042790	99.894	1.015	0.03	56.44	3.41	2052317	6816194	1371005	1070195	2	4
r10_1bin_v3_1_r1_medaka	8	8	8	8	30864140	30864140	30864140	30864140	8	6792252	30864140	6728151	49.50	66.21	4758082	6792252	2992074	6792252	3	1	5	1	6	1	6792252	11	0	0	7	0 + 8 part	24043929	99.894	1.015	0.00	57.09	3.68	2052329	6816873	1371014	1070190	2	4
r10_1bin_v3_1_r2_medaka	8	8	8	8	30855723	30855723	30855723	30855723	8	6792253	30855723	6728151	49.50	66.21	4757996	6792253	2992074	6792253	3	1	5	1	6	1	6792253	11	0	0	7	0 + 8 part	24035604	99.894	1.015	0.00	57.06	3.60	2052330	6816781	1371015	1070189	2	4
r10_1bin_v3_1_racon_r1	8	8	8	8	30852485	30852485	30852485	30852485	8	6791585	30852485	6728151	49.49	66.21	4757676	6791585	2991917	6791585	3	1	5	1	6	1	6791585	11	0	0	7	0 + 8 part	24033094	99.895	1.015	0.00	59.31	14.97	2052131	6816059	1370872	1070104	2	4
r10_1bin_v3_1_racon_r2	8	8	8	8	30847715	30847715	30847715	30847715	8	6791667	30847715	6728151	49.49	66.21	4757433	6791667	2991951	6791667	3	1	5	1	6	1	6791667	11	0	0	7	0 + 8 part	24028472	99.894	1.015	0.00	58.91	14.31	2052150	6815905	1370886	1070107	2	4
r10_1bin_v3_1_raw	8	8	8	8	30848193	30848193	30848193	30848193	8	6787707	30848193	6728151	49.48	66.21	4756098	6787707	2990633	6787707	3	1	5	1	10	1	6787707	28	0	0	7	0 + 8 part	24076786	99.867	1.008	0.00	65.65	97.14	1826402	6766612	940304	569562	3	5
r10_1bin_v3_2_MP	8	8	8	8	30866747	30866747	30866747	30866747	8	6792257	30866747	6728151	49.50	66.21	4758934	6792257	2992084	6792257	3	1	5	1	8	1	6792257	11	0	0	7	0 + 8 part	24047237	99.894	1.015	0.00	58.80	5.49	1546954	6815813	1209489	1070337	3	4
r10_1bin_v3_2_MP_helen	8	8	8	8	30862810	30862810	30862810	30862810	8	6792199	30862810	6728151	49.51	66.21	4757811	6792199	2992067	6792199	3	1	5	1	6	1	6792199	11	0	0	7	0 + 8 part	24043942	99.894	1.015	0.00	56.09	5.13	2052186	6815171	1209480	1070324	3	4
r10_1bin_v3_2_r1_medaka	8	8	8	8	30867513	30867513	30867513	30867513	8	6792399	30867513	6728151	49.50	66.21	4759010	6792399	2992184	6792399	3	1	5	1	6	1	6792399	11	0	0	7	0 + 8 part	24048404	99.894	1.015	0.00	56.88	6.56	2052258	6815412	1209520	1070369	3	4
r10_1bin_v3_2_r2_medaka	8	8	8	8	30858217	30858217	30858217	30858217	8	6792386	30858217	6728151	49.50	66.21	4758465	6792386	2992173	6792386	3	1	5	1	6	1	6792386	11	0	0	7	0 + 8 part	24039283	99.894	1.015	0.00	56.69	6.38	2052252	6815237	1209516	1070366	3	4
r10_1bin_v3_2_racon_r1	8	8	8	8	30852216	30852216	30852216	30852216	8	6791581	30852216	6728151	49.49	66.21	4757950	6791581	2991893	6791581	3	1	5	1	6	1	6791581	11	0	0	7	0 + 8 part	24033441	99.894	1.015	0.00	58.92	15.49	2052053	6815078	1209345	1070242	3	4
r10_1bin_v3_2_racon_r2	8	8	8	8	30847455	30847455	30847455	30847455	8	6791672	30847455	6728151	49.49	66.21	4757851	6791672	2991931	6791672	3	1	5	1	6	1	6791672	12	0	0	7	0 + 8 part	24028774	99.894	1.015	0.00	58.52	14.21	2052076	6814984	1209366	1070249	3	4
r10_1bin_v3_2_raw	8	8	8	8	30848654	30848654	30848654	30848654	8	6787721	30848654	6728151	49.48	66.21	4756089	6787721	2990628	6787721	3	1	5	1	10	1	6787721	29	0	0	6	0 + 8 part	24077732	99.864	1.008	0.00	64.58	96.85	1664908	6768491	940651	569184	3	5
r10_1bin_v3_3_MP	8	8	8	8	30870433	30870433	30870433	30870433	8	6792253	30870433	6728151	49.50	66.21	4758933	6792253	2992084	6792253	3	1	5	1	6	1	6792253	11	0	0	7	0 + 8 part	24051441	99.894	1.015	0.00	58.33	5.48	1643841	6815239	1274471	1070337	3	4
r10_1bin_v3_3_MP_helen	8	8	8	8	30862880	30862880	30862880	30862880	8	6792197	30862880	6728151	49.51	66.21	4757839	6792197	2992068	6792197	3	1	5	1	6	1	6792197	11	0	0	7	0 + 8 part	24043921	99.894	1.015	0.00	56.17	5.13	1643830	6815207	1274461	1070325	3	4
r10_1bin_v3_3_r1_medaka	8	8	8	8	30870915	30870915	30870915	30870915	8	6792391	30870915	6728151	49.50	66.21	4759025	6792391	2992178	6792391	3	1	5	1	6	1	6792391	11	0	0	7	0 + 8 part	24052067	99.894	1.015	0.00	56.50	6.28	1643876	6815096	1274503	1070363	3	4
r10_1bin_v3_3_r2_medaka	8	8	8	8	30863583	30863583	30863583	30863583	8	6792395	30863583	6728151	49.50	66.21	4758469	6792395	2992176	6792395	3	1	5	1	6	1	6792395	11	0	0	7	0 + 8 part	24044933	99.894	1.015	0.00	56.35	6.46	1643878	6814898	1274502	1070364	3	4
r10_1bin_v3_3_racon_r1	8	8	8	8	30855714	30855714	30855714	30855714	8	6791556	30855714	6728151	49.49	66.21	4757998	6791556	2991922	6791556	3	1	5	1	6	1	6791556	11	0	0	7	0 + 8 part	24037196	99.894	1.015	0.00	58.13	15.16	1643635	6814766	1274310	1070253	3	4
r10_1bin_v3_3_racon_r2	8	8	8	8	30850694	30850694	30850694	30850694	8	6791638	30850694	6728151	49.49	66.21	4757867	6791638	2991951	6791638	3	1	5	1	6	1	6791638	11	0	0	6	0 + 8 part	24032079	99.894	1.015	0.00	58.58	14.25	1643680	6814863	1274344	1070241	3	4
r10_1bin_v3_3_raw	8	8	8	8	30851667	30851667	30851667	30851667	8	6787718	30851667	6728151	49.48	66.21	4756074	6787718	2990626	6787718	3	1	5	1	10	1	6787718	29	0	0	6	0 + 8 part	24080254	99.864	1.008	0.32	65.29	96.80	2098268	6768827	1471391	610115	2	4
