S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
56	80800	1	80747	lf_ill_lf_contig4	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	844	80749	81592	lf_ill_lf_contig2	contig_15	99.78		True
translocation
1	11301	92891	81593	lf_ill_lf_contig43	contig_15	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	730	92892	93566	lf_ill_lf_contig85	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	789	94311	93578	lf_ill_lf_contig81	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3047	94312	97358	lf_ill_lf_contig66	contig_15	100.0		True
translocation
80303	80800	97359	97856	lf_ill_lf_contig4	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	899	97858	98756	lf_ill_lf_contig2	contig_15	99.78		True
translocation
55	582	99284	98757	lf_ill_lf_contig88	contig_15	100.0		True
translocation
88184	89169	100270	99285	lf_ill_lf_contig3	contig_15	97.54		True
translocation
1	5064	100271	105334	lf_ill_lf_contig55	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	980	105335	106259	lf_ill_lf_contig79	contig_15	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	2853	109377	106525	lf_ill_lf_contig67	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	110610	109378	lf_ill_lf_contig73	contig_15	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	46568	157177	110611	lf_ill_lf_contig11	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	73582	157427	231009	lf_ill_lf_contig6	contig_15	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1332	231011	232352	lf_ill_lf_contig57	contig_15	99.25		True
local misassembly
1544	3911	232369	234736	lf_ill_lf_contig57	contig_15	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	703	235439	234737	lf_ill_lf_contig82	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2464	235625	238088	lf_ill_lf_contig69	contig_15	100.0		True
translocation
114820	115148	238089	238417	lf_ill_lf_contig1	contig_15	99.7		True
fake: not a misassembly [fragmentation of reference genome]
37144	37666	239182	238660	lf_ill_lf_contig17	contig_15	99.81		True
translocation
80301	80800	239183	239682	lf_ill_lf_contig4	contig_15	99.6		True
fake: not a misassembly [fragmentation of reference genome]
1	844	239684	240527	lf_ill_lf_contig2	contig_15	99.56		True
translocation
5585	40416	275242	240528	lf_ill_lf_contig14	contig_15	99.65		True
indel: stretch of mismatches
1	5584	280826	275243	lf_ill_lf_contig14	contig_15	99.99		True
translocation
80303	80800	280827	281324	lf_ill_lf_contig4	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	844	281326	282169	lf_ill_lf_contig2	contig_15	99.78		True
translocation
1	17293	299463	282170	lf_ill_lf_contig35	contig_15	99.96		True
fake: not a misassembly [fragmentation of reference genome]
100002	100536	299999	299465	lf_ill_lf_contig2	contig_15	99.66		True
translocation
1	41003	341002	300000	lf_ill_lf_contig13	contig_15	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3745	345066	341322	lf_ill_lf_contig60	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	730	345067	345741	lf_ill_lf_contig85	contig_15	99.18		True
fake: not a misassembly [fragmentation of reference genome]
56	789	346475	345742	lf_ill_lf_contig81	contig_15	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3360	346476	349835	lf_ill_lf_contig63	contig_15	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	509	350289	349836	lf_ill_lf_contig89	contig_15	98.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	39983	350290	390272	lf_ill_lf_contig15	contig_15	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	509	390273	390727	lf_ill_lf_contig89	contig_15	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
2917	3360	391171	390728	lf_ill_lf_contig63	contig_15	99.46		True
translocation
56	1448	392564	391172	lf_ill_lf_contig72	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1702	394211	392565	lf_ill_lf_contig71	contig_15	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7822	394212	402032	lf_ill_lf_contig53	contig_15	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	591	402093	402693	lf_ill_lf_contig13	contig_15	97.26		True
translocation
1	8297	410990	402694	lf_ill_lf_contig51	contig_15	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	24519	436174	411656	lf_ill_lf_contig28	contig_15	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1019	436175	437138	lf_ill_lf_contig77	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1779	438917	437139	lf_ill_lf_contig70	contig_15	100.0		True
translocation
29590	30699	438918	440027	lf_ill_lf_contig21	contig_15	99.49		True
fake: not a misassembly [fragmentation of reference genome]
1	64510	504538	440029	lf_ill_lf_contig7	contig_15	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1199	505682	504539	lf_ill_lf_contig75	contig_15	98.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
88323	91407	508767	505683	lf_ill_lf_contig3	contig_15	99.03		True
translocation
2391	2464	508989	509062	lf_ill_lf_contig69	contig_15	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1074	510181	509108	lf_ill_lf_contig77	contig_15	99.91		True
translocation
80301	80800	510182	510682	lf_ill_lf_contig4	contig_15	99.4		True
fake: not a misassembly [fragmentation of reference genome]
1	100536	510684	611233	lf_ill_lf_contig2	contig_15	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	1106	611235	612349	lf_ill_lf_contig35	contig_15	98.47		True
translocation
1	8523	612350	620872	lf_ill_lf_contig50	contig_15	100.0		True
translocation
63742	64510	620873	621641	lf_ill_lf_contig7	contig_15	99.76		True
fake: not a misassembly [fragmentation of reference genome]
29570	30699	622772	621643	lf_ill_lf_contig21	contig_15	99.92		True
translocation
1	8892	622773	631664	lf_ill_lf_contig48	contig_15	100.0		True
