S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	329	216380	216052	ec_ill_ec_contig11	contig_14	100.0		False
1	198	316820	316623	ec_ill_ec_contig58	contig_14	90.91		False
107534	107987	316554	317006	ec_ill_ec_contig12	contig_14	93.17		False
124606	125137	372094	371563	ec_ill_ec_contig9	contig_14	97.18		False
1	329	390969	390641	ec_ill_ec_contig11	contig_14	100.0		False
1	329	436265	436593	ec_ill_ec_contig11	contig_14	100.0		False
1	127	766957	766831	ec_ill_ec_contig85	contig_14	95.28		False
1	559	768388	767830	ec_ill_ec_contig74	contig_14	94.1		False
1	102	769361	769462	ec_ill_ec_contig86	contig_14	98.04		False
806	937	770149	770280	ec_ill_ec_contig86	contig_14	96.21		False
1	329	785810	785482	ec_ill_ec_contig11	contig_14	100.0		False
1	65	786185	786249	ec_ill_ec_contig68	contig_14	100.0		False
1	65	786185	786249	ec_ill_ec_contig44	contig_14	100.0		False
1	65	786185	786249	ec_ill_ec_contig57	contig_14	100.0		False
181797	181861	786249	786185	ec_ill_ec_contig6	contig_14	100.0		False
1	65	786185	786249	ec_ill_ec_contig45	contig_14	100.0		False
1	65	786185	786249	ec_ill_ec_contig28	contig_14	100.0		False
10232	10296	786249	786185	ec_ill_ec_contig58	contig_14	100.0		False
1	66	786185	786250	ec_ill_ec_contig42	contig_14	100.0		False
31672	31737	786250	786185	ec_ill_ec_contig41	contig_14	100.0		False
97228	97294	786251	786185	ec_ill_ec_contig19	contig_14	100.0		False
2690	3008	787571	787889	ec_ill_ec_contig13	contig_14	97.18		False
303	604	788525	788224	ec_ill_ec_contig50	contig_14	97.02		False
124622	125137	789449	788935	ec_ill_ec_contig9	contig_14	96.71		False
112	1000	900079	899191	ec_ill_ec_contig36	contig_14	96.63		False
2243	2633	902858	903248	ec_ill_ec_contig52	contig_14	95.4		False
789	920	1120163	1120032	ec_ill_ec_contig87	contig_14	96.21		False
1	69	1120968	1120900	ec_ill_ec_contig55	contig_14	100.0		False
1	102	1120968	1120867	ec_ill_ec_contig87	contig_14	98.04		False
1	558	1121943	1122500	ec_ill_ec_contig74	contig_14	93.56		False
1	127	1123373	1123499	ec_ill_ec_contig102	contig_14	95.28		False
480	550	1123852	1123922	ec_ill_ec_contig102	contig_14	97.18		False
1	325	1387547	1387223	ec_ill_ec_contig11	contig_14	92.0		False
1	190	1387793	1387982	ec_ill_ec_contig67	contig_14	94.21		False
1	88	1425451	1425364	ec_ill_ec_contig34	contig_14	100.0		False
22601	22689	1425363	1425451	ec_ill_ec_contig48	contig_14	98.88		False
1476	1642	1426676	1426510	ec_ill_ec_contig67	contig_14	96.41		False
4816	5324	1426676	1426168	ec_ill_ec_contig64	contig_14	91.0		False
105584	107987	1430694	1428291	ec_ill_ec_contig12	contig_14	91.53		False
1	331	1439146	1439476	ec_ill_ec_contig11	contig_14	100.0		False
1	329	1665987	1666314	ec_ill_ec_contig11	contig_14	99.7		False
1	330	1677034	1677363	ec_ill_ec_contig11	contig_14	100.0		False
42694	42771	1779451	1779374	ec_ill_ec_contig36	contig_14	100.0		False
17096	17214	1779451	1779333	se_ill_se_contig4	contig_14	98.32		False
197824	198091	1779184	1779451	ec_ill_ec_contig4	contig_14	99.25		False
1	307	1779636	1779332	se_ill_se_contig39	contig_14	94.84		False
188	265	1779659	1779582	se_ill_se_contig39	contig_14	100.0		False
198014	198091	1779582	1779659	ec_ill_ec_contig4	contig_14	100.0		False
17096	17173	1779659	1779582	se_ill_se_contig4	contig_14	100.0		False
42693	42869	1779660	1779485	ec_ill_ec_contig36	contig_14	92.78		False
188	263	1779881	1779806	se_ill_se_contig39	contig_14	100.0		False
42694	42771	1779881	1779804	ec_ill_ec_contig36	contig_14	98.72		False
16899	16976	1779960	1779883	se_ill_se_contig4	contig_14	100.0		False
16782	16859	1779960	1779883	se_ill_se_contig4	contig_14	100.0		False
16665	16742	1779960	1779883	se_ill_se_contig4	contig_14	100.0		False
198016	198171	1779806	1779960	ec_ill_ec_contig4	contig_14	99.36		False
17016	17171	1779960	1779806	se_ill_se_contig4	contig_14	99.36		False
188	263	1780185	1780110	se_ill_se_contig39	contig_14	100.0		False
42694	42771	1780185	1780108	ec_ill_ec_contig36	contig_14	98.72		False
17016	17171	1780263	1780110	se_ill_se_contig4	contig_14	98.72		False
198016	198171	1780110	1780263	ec_ill_ec_contig4	contig_14	98.72		False
1476	1730	1824318	1824065	ec_ill_ec_contig75	contig_14	92.16		False
2578	3118	1824318	1823779	ec_ill_ec_contig69	contig_14	95.01		False
1202	1578	1824340	1823964	ec_ill_ec_contig76	contig_14	94.16		False
2	564	1823779	1824340	ec_ill_ec_contig52	contig_14	93.78		False
1	122	1825976	1825855	ec_ill_ec_contig84	contig_14	96.72		False
1719	2150	1826284	1825853	ec_ill_ec_contig25	contig_14	97.45		False
1	394	1828120	1827727	ec_ill_ec_contig25	contig_14	96.7		False
1719	2148	1828155	1827726	ec_ill_ec_contig25	contig_14	96.51		False
2243	2633	2011916	2012306	ec_ill_ec_contig52	contig_14	95.4		False
113	1000	2266152	2265265	ec_ill_ec_contig36	contig_14	96.62		False
103859	104096	2282794	2283033	se_ill_se_contig19	contig_14	94.19		False
671	900	2283300	2283529	sa_ill_sa_contig41	contig_14	90.87		False
61	290	2283300	2283529	bs_ill_bs_contig839	contig_14	90.43		False
305	534	2283300	2283529	lf_ill_lf_contig82	contig_14	90.0		False
4882	5195	2283552	2283239	pa_ill_pa_contig44	contig_14	96.18		False
1124	1206	2283946	2284028	lm_ill_lm_contig12	contig_14	97.59		False
707	789	2283946	2284028	bs_ill_bs_contig839	contig_14	97.59		False
1137	1227	2283938	2284028	ef_ill_ef_contig17	contig_14	96.7		False
3582	3672	2284028	2283938	lf_ill_lf_contig57	contig_14	96.7		False
1309	1402	2283938	2284031	sa_ill_sa_contig41	contig_14	96.81		False
4391	4831	2284043	2283603	pa_ill_pa_contig44	contig_14	90.25		False
4268	4385	2284168	2284051	pa_ill_pa_contig44	contig_14	94.92		False
4118	4231	2284321	2284208	pa_ill_pa_contig44	contig_14	93.86		False
3453	3662	2284985	2284776	pa_ill_pa_contig44	contig_14	93.81		False
3374	3442	2285063	2284995	pa_ill_pa_contig44	contig_14	94.2		False
8	2387	2282986	2285364	se_ill_se_contig42	contig_14	97.57		False
2892	3062	2285547	2285377	pa_ill_pa_contig44	contig_14	91.23		False
2687	2800	2285761	2285648	pa_ill_pa_contig44	contig_14	91.23		False
1	660	2285377	2286038	se_ill_se_contig60	contig_14	95.79		False
1975	2060	2286448	2286363	pa_ill_pa_contig44	contig_14	91.86		False
1878	1967	2286545	2286456	pa_ill_pa_contig44	contig_14	92.22		False
1813	1877	2286612	2286548	pa_ill_pa_contig44	contig_14	92.31		False
1342	1416	2286739	2286665	lm_ill_lm_contig16	contig_14	90.67		False
455	542	2286775	2286862	sa_ill_sa_contig8	contig_14	90.91		False
590	709	2286908	2287027	sa_ill_sa_contig8	contig_14	93.33		False
1055	1174	2287028	2286909	lm_ill_lm_contig16	contig_14	95.83		False
616	735	2287028	2286909	lf_ill_lf_contig57	contig_14	95.0		False
603	727	2287028	2286904	bs_ill_bs_contig933	contig_14	92.8		False
1136	1277	2287028	2286887	ef_ill_ef_contig19	contig_14	90.85		False
1375	1760	2287050	2286665	pa_ill_pa_contig44	contig_14	92.75		False
924	995	2287158	2287087	lm_ill_lm_contig16	contig_14	97.22		False
1005	1076	2287158	2287087	ef_ill_ef_contig19	contig_14	95.83		False
472	543	2287158	2287087	bs_ill_bs_contig933	contig_14	95.83		False
769	841	2287086	2287158	sa_ill_sa_contig8	contig_14	95.89		False
997	1143	2287427	2287281	pa_ill_pa_contig44	contig_14	90.48		False
800	973	2287624	2287451	pa_ill_pa_contig44	contig_14	91.95		False
3345	5078	2286314	2288049	se_ill_se_contig42	contig_14	97.19		False
1	330	2469888	2470217	ec_ill_ec_contig11	contig_14	100.0		False
1	329	2492215	2491887	ec_ill_ec_contig11	contig_14	100.0		False
29624	29701	2547769	2547692	se_ill_se_contig16	contig_14	98.72		False
29738	29893	2547769	2547614	se_ill_se_contig16	contig_14	96.79		False
52430	52518	2547777	2547690	ec_ill_ec_contig23	contig_14	98.88		False
29496	29584	2547778	2547691	se_ill_se_contig16	contig_14	98.88		False
29738	29815	2547883	2547806	se_ill_se_contig16	contig_14	98.72		False
29506	29588	2547883	2547801	se_ill_se_contig16	contig_14	97.59		False
29624	29725	2547883	2547782	se_ill_se_contig16	contig_14	100.0		False
52430	52516	2547891	2547806	ec_ill_ec_contig23	contig_14	97.7		False
52430	52517	2548012	2547925	ec_ill_ec_contig23	contig_14	100.0		False
29728	29816	2548013	2547925	se_ill_se_contig16	contig_14	100.0		False
29614	29706	2548013	2547921	se_ill_se_contig16	contig_14	97.85		False
29489	29596	2548020	2547913	se_ill_se_contig16	contig_14	99.07		False
54	180	2638162	2638288	ec_ill_ec_contig64	contig_14	100.0		False
1	325	2642022	2642349	ec_ill_ec_contig11	contig_14	90.24		False
1	77	2760790	2760866	se_ill_se_contig66	contig_14	100.0		False
28783	28859	2760866	2760790	pa_ill_pa_contig8	contig_14	100.0		False
232	309	2760789	2760866	se_ill_se_contig66	contig_14	100.0		False
317	398	2760785	2760866	pa_ill_pa_contig9	contig_14	100.0		False
451	520	2760887	2760956	se_ill_se_contig66	contig_14	100.0		False
28783	28859	2760977	2760901	pa_ill_pa_contig8	contig_14	100.0		False
1	77	2760901	2760977	se_ill_se_contig66	contig_14	100.0		False
161	238	2760900	2760977	pa_ill_pa_contig9	contig_14	100.0		False
321	398	2760900	2760977	pa_ill_pa_contig9	contig_14	100.0		False
219	309	2760887	2760977	se_ill_se_contig66	contig_14	100.0		False
28783	28859	2761089	2761013	pa_ill_pa_contig8	contig_14	100.0		False
1	77	2761013	2761089	se_ill_se_contig66	contig_14	100.0		False
224	309	2761004	2761089	se_ill_se_contig66	contig_14	100.0		False
1	80	2761012	2761091	pa_ill_pa_contig9	contig_14	100.0		False
161	240	2761012	2761091	pa_ill_pa_contig9	contig_14	100.0		False
1	329	2791655	2791983	ec_ill_ec_contig11	contig_14	100.0		False
246	507	2847410	2847671	ec_ill_ec_contig103	contig_14	99.62		False
133	507	2847410	2847784	ec_ill_ec_contig103	contig_14	97.6		False
1	168	2847730	2847897	ec_ill_ec_contig103	contig_14	98.21		False
1	281	2847617	2847897	ec_ill_ec_contig103	contig_14	98.93		False
1	394	2847504	2847897	ec_ill_ec_contig103	contig_14	97.97		False
20	507	2847410	2847897	ec_ill_ec_contig103	contig_14	99.18		False
228	358	2930779	2930649	ec_ill_ec_contig16	contig_14	99.24		False
222	352	2930779	2930649	se_ill_se_contig30	contig_14	97.71		False
1	136	2930779	2930644	se_ill_se_contig17	contig_14	99.26		False
88298	88468	2930647	2930817	ec_ill_ec_contig23	contig_14	98.83		False
1	171	2930817	2930647	ec_ill_ec_contig4	contig_14	98.83		False
17185	17355	2930647	2930817	ec_ill_ec_contig52	contig_14	98.83		False
103859	104096	2930649	2930887	se_ill_se_contig19	contig_14	95.42		False
671	900	2931154	2931383	sa_ill_sa_contig41	contig_14	90.87		False
61	290	2931154	2931383	bs_ill_bs_contig839	contig_14	90.43		False
305	534	2931154	2931383	lf_ill_lf_contig82	contig_14	90.0		False
4882	5195	2931406	2931093	pa_ill_pa_contig44	contig_14	96.18		False
1124	1206	2931799	2931881	lm_ill_lm_contig12	contig_14	97.59		False
707	789	2931799	2931881	bs_ill_bs_contig839	contig_14	97.59		False
1137	1227	2931791	2931881	ef_ill_ef_contig17	contig_14	96.7		False
3582	3672	2931881	2931791	lf_ill_lf_contig57	contig_14	96.7		False
1309	1402	2931791	2931884	sa_ill_sa_contig41	contig_14	96.81		False
4268	4718	2932019	2931569	pa_ill_pa_contig44	contig_14	92.68		False
4118	4231	2932172	2932059	pa_ill_pa_contig44	contig_14	93.86		False
3453	3662	2932837	2932628	pa_ill_pa_contig44	contig_14	93.81		False
3374	3442	2932915	2932847	pa_ill_pa_contig44	contig_14	94.2		False
2	2387	2930834	2933216	se_ill_se_contig42	contig_14	98.12		False
2892	3062	2933399	2933229	pa_ill_pa_contig44	contig_14	91.23		False
2687	2800	2933613	2933500	pa_ill_pa_contig44	contig_14	91.23		False
1	660	2933229	2933890	se_ill_se_contig60	contig_14	96.09		False
1975	2060	2934208	2934123	pa_ill_pa_contig44	contig_14	91.86		False
1473	1587	2934366	2934252	lm_ill_lm_contig16	contig_14	93.91		False
1035	1151	2934366	2934250	lf_ill_lf_contig57	contig_14	91.45		False
1813	1967	2934370	2934216	pa_ill_pa_contig44	contig_14	92.26		False
455	542	2934534	2934621	sa_ill_sa_contig8	contig_14	90.91		False
590	709	2934667	2934786	sa_ill_sa_contig8	contig_14	93.33		False
616	735	2934787	2934668	lf_ill_lf_contig57	contig_14	95.0		False
1136	1256	2934787	2934667	ef_ill_ef_contig19	contig_14	95.87		False
1055	1180	2934787	2934662	lm_ill_lm_contig16	contig_14	93.65		False
603	728	2934787	2934662	bs_ill_bs_contig933	contig_14	92.86		False
1375	1536	2934809	2934648	pa_ill_pa_contig44	contig_14	93.83		False
924	995	2934917	2934846	lm_ill_lm_contig16	contig_14	97.22		False
1005	1076	2934917	2934846	ef_ill_ef_contig19	contig_14	95.83		False
472	543	2934917	2934846	bs_ill_bs_contig933	contig_14	95.83		False
769	841	2934845	2934917	sa_ill_sa_contig8	contig_14	95.89		False
997	1158	2935187	2935026	pa_ill_pa_contig44	contig_14	90.12		False
529	593	2935661	2935597	pa_ill_pa_contig44	contig_14	98.46		False
3350	5078	2934079	2935810	se_ill_se_contig42	contig_14	96.95		False
1	111	2935756	2935866	se_ill_se_contig7	contig_14	94.64		False
1	215	2935756	2935969	se_ill_se_contig6	contig_14	96.76		False
65010	65101	2967543	2967634	pa_ill_pa_contig27	contig_14	91.3		False
48505	48596	2967543	2967634	pa_ill_pa_contig27	contig_14	91.3		False
1	1007	2967696	2966692	se_ill_se_contig57	contig_14	98.11		False
242236	242446	2967854	2967645	se_ill_se_contig5	contig_14	94.79		False
3597	4424	2968470	2967645	se_ill_se_contig45	contig_14	97.83		False
1	107	2972146	2972039	se_ill_se_contig30	contig_14	99.07		False
1	153	2972146	2971993	se_ill_se_contig45	contig_14	95.45		False
1	113	2972152	2972039	ec_ill_ec_contig16	contig_14	99.12		False
1	113	2972152	2972039	ec_ill_ec_contig8	contig_14	99.12		False
222	343	2972170	2972049	se_ill_se_contig30	contig_14	97.54		False
1	131	2972170	2972039	se_ill_se_contig17	contig_14	97.73		False
228	526	2972170	2971871	ec_ill_ec_contig16	contig_14	98.67		False
88300	88468	2972039	2972208	ec_ill_ec_contig23	contig_14	99.41		False
17187	17355	2972039	2972208	ec_ill_ec_contig52	contig_14	99.41		False
1	169	2972208	2972039	ec_ill_ec_contig4	contig_14	99.41		False
103693	104096	2971873	2972278	se_ill_se_contig19	contig_14	93.86		False
671	900	2972545	2972774	sa_ill_sa_contig41	contig_14	90.87		False
61	290	2972545	2972774	bs_ill_bs_contig839	contig_14	90.43		False
305	534	2972545	2972774	lf_ill_lf_contig82	contig_14	90.0		False
4882	5195	2972797	2972484	pa_ill_pa_contig44	contig_14	96.18		False
1124	1206	2973191	2973273	lm_ill_lm_contig12	contig_14	97.59		False
707	789	2973191	2973273	bs_ill_bs_contig839	contig_14	97.59		False
1137	1227	2973183	2973273	ef_ill_ef_contig17	contig_14	96.7		False
3582	3672	2973273	2973183	lf_ill_lf_contig57	contig_14	96.7		False
1309	1402	2973183	2973276	sa_ill_sa_contig41	contig_14	96.81		False
4268	4718	2973411	2972961	pa_ill_pa_contig44	contig_14	92.68		False
4118	4231	2973564	2973451	pa_ill_pa_contig44	contig_14	93.86		False
3453	3662	2974229	2974020	pa_ill_pa_contig44	contig_14	93.81		False
3374	3442	2974307	2974239	pa_ill_pa_contig44	contig_14	94.2		False
2	2387	2972225	2974608	se_ill_se_contig42	contig_14	98.11		False
2892	3062	2974791	2974621	pa_ill_pa_contig44	contig_14	91.23		False
2687	2800	2975005	2974892	pa_ill_pa_contig44	contig_14	91.23		False
1	660	2974621	2975282	se_ill_se_contig60	contig_14	96.09		False
1975	2060	2975600	2975515	pa_ill_pa_contig44	contig_14	91.86		False
1473	1587	2975758	2975644	lm_ill_lm_contig16	contig_14	93.91		False
1035	1151	2975758	2975642	lf_ill_lf_contig57	contig_14	91.45		False
1813	1967	2975762	2975608	pa_ill_pa_contig44	contig_14	92.26		False
1342	1416	2975889	2975815	lm_ill_lm_contig16	contig_14	90.67		False
455	542	2975925	2976012	sa_ill_sa_contig8	contig_14	90.91		False
590	709	2976058	2976177	sa_ill_sa_contig8	contig_14	93.33		False
616	735	2976178	2976059	lf_ill_lf_contig57	contig_14	95.0		False
1136	1256	2976178	2976058	ef_ill_ef_contig19	contig_14	95.87		False
1055	1180	2976178	2976053	lm_ill_lm_contig16	contig_14	93.65		False
603	728	2976178	2976053	bs_ill_bs_contig933	contig_14	92.86		False
1375	1536	2976200	2976039	pa_ill_pa_contig44	contig_14	93.83		False
924	995	2976308	2976237	lm_ill_lm_contig16	contig_14	97.22		False
472	543	2976308	2976237	bs_ill_bs_contig933	contig_14	95.83		False
769	841	2976236	2976308	sa_ill_sa_contig8	contig_14	95.89		False
1260	1345	2976315	2976230	pa_ill_pa_contig44	contig_14	94.19		False
997	1158	2976577	2976416	pa_ill_pa_contig44	contig_14	90.12		False
529	593	2977051	2976987	pa_ill_pa_contig44	contig_14	98.46		False
3350	5078	2975471	2977200	se_ill_se_contig42	contig_14	97.06		False
1	294	2976908	2977201	ec_ill_ec_contig6	contig_14	98.3		False
1	263	2977146	2977408	se_ill_se_contig23	contig_14	92.88		False
1	268	2977147	2977415	ec_ill_ec_contig12	contig_14	99.26		False
1	107	3103156	3103050	se_ill_se_contig30	contig_14	99.07		False
1	153	3103156	3103004	se_ill_se_contig45	contig_14	96.08		False
1	113	3103162	3103050	ec_ill_ec_contig16	contig_14	99.12		False
1	113	3103162	3103050	ec_ill_ec_contig8	contig_14	99.12		False
1	131	3103180	3103050	se_ill_se_contig17	contig_14	98.47		False
222	355	3103180	3103047	se_ill_se_contig30	contig_14	97.01		False
228	526	3103180	3102882	ec_ill_ec_contig16	contig_14	98.66		False
17187	17355	3103050	3103218	ec_ill_ec_contig52	contig_14	98.82		False
1	169	3103218	3103050	ec_ill_ec_contig4	contig_14	98.82		False
88300	88468	3103050	3103218	ec_ill_ec_contig23	contig_14	98.82		False
103693	104096	3102884	3103289	se_ill_se_contig19	contig_14	94.1		False
671	900	3103556	3103785	sa_ill_sa_contig41	contig_14	90.87		False
61	290	3103556	3103785	bs_ill_bs_contig839	contig_14	90.43		False
