S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200292	1	ec_ill_ec_contig2	contig_11	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200293	200782	ec_ill_ec_contig98	contig_11	99.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216164	200783	ec_ill_ec_contig54	contig_11	99.77		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216717	216232	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314097	216813	ec_ill_ec_contig19	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314098	316622	ec_ill_ec_contig71	contig_11	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316838	317413	ec_ill_ec_contig95	contig_11	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317414	325106	ec_ill_ec_contig61	contig_11	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325561	325107	ec_ill_ec_contig101	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352905	325562	ec_ill_ec_contig46	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352906	353479	ec_ill_ec_contig96	contig_11	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353823	353480	ec_ill_ec_contig85	contig_11	93.66		True
translocation
1	1970	355793	353824	ec_ill_ec_contig74	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356767	355794	ec_ill_ec_contig82	contig_11	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356768	371144	ec_ill_ec_contig55	contig_11	99.97		True
translocation
1	384	371528	371145	ec_ill_ec_contig50	contig_11	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372042	371648	ec_ill_ec_contig9	contig_11	97.18		True
translocation
1	18741	372043	390781	ec_ill_ec_contig51	contig_11	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391334	390849	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391430	423117	ec_ill_ec_contig42	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435984	423118	ec_ill_ec_contig57	contig_11	99.99		True
local misassembly [fragmentation of reference genome]
22	507	436080	436565	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535405	436633	ec_ill_ec_contig18	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536637	535406	ec_ill_ec_contig79	contig_11	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707933	536638	ec_ill_ec_contig3	contig_11	100.0		True
local misassembly
1	57666	765598	707934	ec_ill_ec_contig3	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765599	766172	ec_ill_ec_contig96	contig_11	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766534	766173	ec_ill_ec_contig85	contig_11	94.88		True
translocation
56	550	767029	766535	ec_ill_ec_contig102	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767621	767030	ec_ill_ec_contig93	contig_11	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767622	768460	ec_ill_ec_contig88	contig_11	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769543	768461	ec_ill_ec_contig82	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769544	770408	ec_ill_ec_contig87	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770409	770933	ec_ill_ec_contig100	contig_11	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771885	771381	ec_ill_ec_contig50	contig_11	94.43		True
translocation
1	13785	771886	785670	ec_ill_ec_contig56	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786223	785738	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787086	787377	ec_ill_ec_contig13	contig_11	97.96		True
translocation
9004	9482	787378	787856	ec_ill_ec_contig55	contig_11	96.15		True
translocation
1	595	787857	788451	ec_ill_ec_contig99	contig_11	100.0		True
translocation
70844	71136	788657	788949	ec_ill_ec_contig26	contig_11	99.32		True
fake: not a misassembly [fragmentation of reference genome]
1	395	789069	789463	ec_ill_ec_contig9	contig_11	96.9		True
translocation
1	70438	789464	859900	ec_ill_ec_contig27	contig_11	100.0		True
