S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	103	43997	44099	sa_ill_sa_contig29	contig_103	99.03		False
337	638	44117	43816	sa_ill_sa_contig54	contig_103	90.73		False
1	370	43833	44202	sa_ill_sa_contig46	contig_103	91.35		False
410	549	44242	44381	sa_ill_sa_contig46	contig_103	92.86		False
1230	1434	44227	44431	sa_ill_sa_contig46	contig_103	90.24		False
1654	1727	44636	44709	sa_ill_sa_contig46	contig_103	93.24		False
41	120	44855	44934	sa_ill_sa_contig29	contig_103	91.25		False
1287	1420	45103	45236	sa_ill_sa_contig46	contig_103	97.76		False
287	451	45102	45266	sa_ill_sa_contig29	contig_103	92.12		False
334	638	45760	45456	sa_ill_sa_contig54	contig_103	90.16		False
3124	3352	365635	365863	sa_ill_sa_contig35	contig_103	93.01		False
3411	3583	365868	366040	sa_ill_sa_contig35	contig_103	95.38		False
3584	3906	366125	366447	sa_ill_sa_contig35	contig_103	95.05		False
2568	3906	365079	366447	sa_ill_sa_contig35	contig_103	91.24		False
13097	13239	382628	382770	sa_ill_sa_contig35	contig_103	97.9		False
29935	30062	382860	382731	sa_ill_sa_contig27	contig_103	93.85		False
1	162	382860	382697	sa_ill_sa_contig53	contig_103	93.29		False
13419	13639	382814	383034	sa_ill_sa_contig35	contig_103	91.44		False
30662	30897	383041	382806	sa_ill_sa_contig27	contig_103	90.68		False
29935	30062	383731	383604	sa_ill_sa_contig27	contig_103	94.53		False
41686	41767	414541	414622	sa_ill_sa_contig19	contig_103	93.9		False
31524	31854	414290	414622	sa_ill_sa_contig10	contig_103	92.13		False
126	348	414554	414773	sa_ill_sa_contig31	contig_103	90.79		False
78636	78790	414627	414780	sa_ill_sa_contig8	contig_103	98.06		False
34638	34805	414786	414620	sa_ill_sa_contig6	contig_103	98.81		False
46303	46464	414627	414787	sa_ill_sa_contig4	contig_103	97.53		False
206209	206371	414627	414788	sa_ill_sa_contig2	contig_103	98.16		False
70243	70357	563987	564101	sa_ill_sa_contig12	contig_103	98.26		False
46187	46447	564323	564063	sa_ill_sa_contig14	contig_103	94.64		False
98002	98191	564534	564345	sa_ill_sa_contig11	contig_103	97.89		False
98002	98221	564534	564316	sa_ill_sa_contig11	contig_103	96.82		False
45846	46038	564537	564345	sa_ill_sa_contig14	contig_103	98.45		False
106941	107135	564537	564343	sa_ill_sa_contig3	contig_103	98.46		False
45846	46068	564537	564316	sa_ill_sa_contig14	contig_103	97.76		False
169546	169626	699979	699898	sa_ill_sa_contig3	contig_103	98.78		False
10552	10623	700051	699980	sa_ill_sa_contig9	contig_103	100.0		False
249	397	699903	700052	sa_ill_sa_contig34	contig_103	99.33		False
18228	18355	699986	700111	bs_ill_bs_contig20	contig_103	94.53		False
131884	131983	875831	875930	sa_ill_sa_contig8	contig_103	98.0		False
106923	107136	875813	876026	sa_ill_sa_contig3	contig_103	99.53		False
134184	134302	876040	875922	sa_ill_sa_contig7	contig_103	97.48		False
1	133	875962	876094	sa_ill_sa_contig31	contig_103	98.5		False
45829	46373	875814	876357	sa_ill_sa_contig14	contig_103	98.17		False
142	348	916094	915888	sa_ill_sa_contig31	contig_103	97.58		False
1	79	949304	949382	sa_ill_sa_contig25	contig_103	100.0		False
87	460	949549	949176	sa_ill_sa_contig23	contig_103	99.2		False
276	350	949476	949550	sa_ill_sa_contig25	contig_103	100.0		False
92	173	949474	949555	bs_ill_bs_contig1326	contig_103	93.9		False
98882	98963	949556	949475	bs_ill_bs_contig3	contig_103	93.9		False
98793	98873	949637	949557	bs_ill_bs_contig3	contig_103	91.36		False
269	356	949725	949812	lm_ill_lm_contig37	contig_103	95.45		False
324	418	949718	949812	lf_ill_lf_contig69	contig_103	94.74		False
429	521	949726	949818	ef_ill_ef_contig21	contig_103	95.7		False
1	75	949916	949990	ef_ill_ef_contig16	contig_103	100.0		False
502	577	949915	949990	lf_ill_lf_contig69	contig_103	94.74		False
439	523	949906	949990	lm_ill_lm_contig37	contig_103	96.47		False
610	689	949912	949991	ef_ill_ef_contig21	contig_103	100.0		False
691	773	949997	950079	ef_ill_ef_contig21	contig_103	93.98		False
890	964	950205	950279	ef_ill_ef_contig21	contig_103	93.33		False
306	382	950767	950690	sa_ill_sa_contig51	contig_103	98.72		False
164	242	950941	950863	sa_ill_sa_contig23	contig_103	100.0		False
105	186	950945	951026	sa_ill_sa_contig25	contig_103	100.0		False
305	382	984047	983969	sa_ill_sa_contig51	contig_103	98.73		False
1	161	984047	983874	sa_ill_sa_contig51	contig_103	92.53		False
125386	125480	1353599	1353505	sa_ill_sa_contig10	contig_103	94.74		False
124898	124977	1354086	1354007	sa_ill_sa_contig10	contig_103	97.5		False
45962	46038	1462119	1462043	sa_ill_sa_contig14	contig_103	100.0		False
98115	98191	1462119	1462043	sa_ill_sa_contig11	contig_103	98.7		False
134195	134277	1462037	1462119	sa_ill_sa_contig7	contig_103	97.59		False
107057	107440	1462119	1461736	sa_ill_sa_contig3	contig_103	96.61		False
107051	107440	1462125	1461736	sa_ill_sa_contig3	contig_103	96.15		False
106944	107031	1462347	1462260	sa_ill_sa_contig3	contig_103	100.0		False
131887	131976	1462347	1462258	sa_ill_sa_contig8	contig_103	97.78		False
97985	98091	1462364	1462258	sa_ill_sa_contig11	contig_103	100.0		False
45829	45938	1462368	1462258	sa_ill_sa_contig14	contig_103	99.1		False
1	111	1462258	1462369	sa_ill_sa_contig14	contig_103	99.11		False
142698	142808	1462369	1462258	sa_ill_sa_contig6	contig_103	95.61		False
3429	3620	1462370	1462179	sa_ill_sa_contig19	contig_103	99.48		False
142699	142806	1690112	1690220	sa_ill_sa_contig6	contig_103	96.33		False
3	110	1690220	1690112	sa_ill_sa_contig14	contig_103	93.64		False
3431	3622	1690112	1690303	sa_ill_sa_contig19	contig_103	94.82		False
206909	207035	1824321	1824197	sa_ill_sa_contig3	contig_103	96.85		False
130251	130372	2243146	2243025	sa_ill_sa_contig9	contig_103	93.44		False
130089	130246	2243146	2242989	sa_ill_sa_contig9	contig_103	92.41		False
4026	4162	2243031	2243167	sa_ill_sa_contig15	contig_103	91.97		False
3912	4054	2243025	2243167	sa_ill_sa_contig15	contig_103	94.41		False
130338	130480	2243167	2243025	sa_ill_sa_contig9	contig_103	92.31		False
4056	4306	2242917	2243167	sa_ill_sa_contig15	contig_103	91.24		False
1	188	2243346	2243159	sa_ill_sa_contig58	contig_103	98.4		False
