S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_59	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52859	se_ill_se_contig27	contig_59	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350737	52860	se_ill_se_contig2	contig_59	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350738	351130	se_ill_se_contig69	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355199	351131	se_ill_se_contig46	contig_59	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355200	358871	se_ill_se_contig47	contig_59	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358872	360649	se_ill_se_contig53	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361136	360650	se_ill_se_contig63	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437711	361137	se_ill_se_contig11	contig_59	99.98		True
local misassembly
1	85763	524035	438272	se_ill_se_contig11	contig_59	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	525177	524036	se_ill_se_contig56	contig_59	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	525178	538904	se_ill_se_contig4	contig_59	99.99		True
local misassembly
13844	16547	538905	541608	se_ill_se_contig4	contig_59	98.95		True
local misassembly
16782	245298	541609	770130	se_ill_se_contig4	contig_59	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	770131	771863	se_ill_se_contig54	contig_59	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771864	772709	se_ill_se_contig58	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772710	774223	se_ill_se_contig55	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	774224	774655	se_ill_se_contig65	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	775146	774656	se_ill_se_contig64	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	775147	779868	se_ill_se_contig43	contig_59	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	785083	779869	se_ill_se_contig41	contig_59	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	806237	785084	se_ill_se_contig37	contig_59	99.98		True
translocation
103637	104041	806238	806643	se_ill_se_contig19	contig_59	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806644	809017	se_ill_se_contig42	contig_59	99.37		True
translocation
1	660	809032	809691	se_ill_se_contig60	contig_59	100.0		True
translocation
3345	5023	809875	811553	se_ill_se_contig42	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811554	860703	se_ill_se_contig7	contig_59	99.96		True
inversion
49137	50103	861670	860704	se_ill_se_contig7	contig_59	100.0		True
inversion
50104	198853	861671	1010436	se_ill_se_contig7	contig_59	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011577	1010437	se_ill_se_contig56	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1039257	1011578	se_ill_se_contig35	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1039258	1040398	se_ill_se_contig56	contig_59	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1040399	1092128	se_ill_se_contig26	contig_59	100.0		True
