S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	80328	80408	1	sa_ill_sa_contig6	contig_10	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	80409	80941	sa_ill_sa_contig63	contig_10	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	124472	80942	sa_ill_sa_contig18	contig_10	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	124473	126145	sa_ill_sa_contig46	contig_10	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	857	127532	126675	sa_ill_sa_contig54	contig_10	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	127898	154086	sa_ill_sa_contig29	contig_10	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	154087	158667	sa_ill_sa_contig40	contig_10	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	163987	158668	sa_ill_sa_contig38	contig_10	99.91		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	168569	163988	sa_ill_sa_contig40	contig_10	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	168570	298944	sa_ill_sa_contig9	contig_10	99.83		True
translocation
71	20896	298945	319775	sa_ill_sa_contig32	contig_10	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	319776	320259	sa_ill_sa_contig65	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	322043	321379	sa_ill_sa_contig60	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	447778	322044	sa_ill_sa_contig10	contig_10	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	448510	462202	sa_ill_sa_contig35	contig_10	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	462203	465124	sa_ill_sa_contig43	contig_10	99.6		True
fake: not a misassembly [fragmentation of reference genome]
56	861	466048	465243	sa_ill_sa_contig53	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	496952	466049	sa_ill_sa_contig27	contig_10	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	646492	496998	sa_ill_sa_contig5	contig_10	99.59		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	778848	646834	sa_ill_sa_contig8	contig_10	99.89		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	782340	779220	sa_ill_sa_contig41	contig_10	99.68		True
translocation
1	34367	782505	816877	sa_ill_sa_contig25	contig_10	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
