S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207318	310075	1	102754	ec_ill_ec_contig2	contig_57	99.99		True
local misassembly
310191	312944	102755	105508	ec_ill_ec_contig2	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303853	105598	ec_ill_ec_contig4	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306825	303854	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1	1463	308685	307223	ec_ill_ec_contig65	contig_57	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309052	346347	ec_ill_ec_contig39	contig_57	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346443	346771	ec_ill_ec_contig104	contig_57	91.19		True
indel: indel (> 5bp)
384	502	346772	346890	ec_ill_ec_contig104	contig_57	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346963	392267	ec_ill_ec_contig15	contig_57	99.95		True
local misassembly
45064	105217	392282	452433	ec_ill_ec_contig15	contig_57	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452434	453665	ec_ill_ec_contig79	contig_57	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453666	514075	ec_ill_ec_contig31	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514263	857467	ec_ill_ec_contig1	contig_57	99.99		True
local misassembly
343563	393863	857468	907767	ec_ill_ec_contig1	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980725	907768	ec_ill_ec_contig16	contig_57	99.99		True
local misassembly
1	31383	1012106	980726	ec_ill_ec_contig16	contig_57	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015134	1012108	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1	1463	1017000	1015538	ec_ill_ec_contig65	contig_57	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058547	1017271	ec_ill_ec_contig37	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059468	1058548	ec_ill_ec_contig83	contig_57	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059469	1206965	ec_ill_ec_contig7	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206966	1208889	ec_ill_ec_contig73	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209451	1208890	ec_ill_ec_contig91	contig_57	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209452	1210096	ec_ill_ec_contig94	contig_57	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210350	1212078	ec_ill_ec_contig75	contig_57	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212527	1213012	ec_ill_ec_contig104	contig_57	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220983	1213080	ec_ill_ec_contig60	contig_57	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222105	1220984	ec_ill_ec_contig80	contig_57	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222106	1315451	ec_ill_ec_contig20	contig_57	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315452	1317375	ec_ill_ec_contig73	contig_57	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317937	1317376	ec_ill_ec_contig91	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317938	1318563	ec_ill_ec_contig94	contig_57	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318564	1390408	ec_ill_ec_contig25	contig_57	99.96		True
local misassembly [fragmentation of reference genome]
1	5324	1395840	1390516	ec_ill_ec_contig64	contig_57	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396123	1412192	ec_ill_ec_contig53	contig_57	100.0		True
translocation
26703	27345	1412193	1412835	ec_ill_ec_contig46	contig_57	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412836	1413288	ec_ill_ec_contig101	contig_57	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415871	1413289	ec_ill_ec_contig70	contig_57	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416154	1418578	ec_ill_ec_contig72	contig_57	100.0		True
translocation
4875	5324	1418579	1419028	ec_ill_ec_contig64	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419741	1419131	ec_ill_ec_contig25	contig_57	97.25		True
translocation
1	22687	1442423	1419742	ec_ill_ec_contig48	contig_57	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442424	1442983	ec_ill_ec_contig92	contig_57	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442984	1444340	ec_ill_ec_contig77	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444854	1444341	ec_ill_ec_contig97	contig_57	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555940	1444855	ec_ill_ec_contig12	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556125	1557588	ec_ill_ec_contig65	contig_57	99.86		True
local misassembly
1876	4847	1557909	1560880	ec_ill_ec_contig65	contig_57	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649345	1560881	ec_ill_ec_contig23	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649749	1651211	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1876	4902	1651624	1654654	ec_ill_ec_contig65	contig_57	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654873	1708559	ec_ill_ec_contig33	contig_57	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1708560	1780478	ec_ill_ec_contig24	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780877	1782340	ec_ill_ec_contig65	contig_57	99.86		True
local misassembly
1876	4902	1782661	1785687	ec_ill_ec_contig65	contig_57	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790173	1785906	ec_ill_ec_contig66	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790174	1791093	ec_ill_ec_contig83	contig_57	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821936	1791094	ec_ill_ec_contig43	contig_57	100.0		True
translocation
56	399	1822278	1821937	ec_ill_ec_contig6	contig_57	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822279	1823741	ec_ill_ec_contig65	contig_57	100.0		True
local misassembly
1876	4902	1824062	1827088	ec_ill_ec_contig65	contig_57	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	5384	1827090	1832473	ec_ill_ec_contig8	contig_57	99.95		True
local misassembly
5483	83127	1832474	1910118	ec_ill_ec_contig8	contig_57	99.99		True
local misassembly
82979	138617	1910309	1965945	ec_ill_ec_contig8	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966498	1966013	ec_ill_ec_contig104	contig_57	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966594	1996848	ec_ill_ec_contig44	contig_57	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104788	1997040	ec_ill_ec_contig14	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104789	2105899	ec_ill_ec_contig81	contig_57	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105900	2115594	ec_ill_ec_contig59	contig_57	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116116	2115667	ec_ill_ec_contig104	contig_57	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116117	2119660	ec_ill_ec_contig67	contig_57	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120349	2119661	ec_ill_ec_contig89	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209940	2120350	ec_ill_ec_contig21	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218332	2210156	ec_ill_ec_contig35	contig_57	99.89		True
local misassembly
1	42569	2260898	2218333	ec_ill_ec_contig35	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262130	2260899	ec_ill_ec_contig79	contig_57	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265315	2262131	ec_ill_ec_contig68	contig_57	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2265411	2265896	ec_ill_ec_contig104	contig_57	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287740	2265964	ec_ill_ec_contig49	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288294	2287809	ec_ill_ec_contig104	contig_57	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470168	2288390	ec_ill_ec_contig6	contig_57	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470169	2471576	ec_ill_ec_contig65	contig_57	99.52		True
local misassembly
1876	4847	2471989	2474962	ec_ill_ec_contig65	contig_57	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492316	2474963	ec_ill_ec_contig52	contig_57	99.91		True
